,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
304,The Book of Distance,"The film premiered at the 2020 Sundance Film Festival.[3] Its subsequent screenings included the 2020 Vancouver International Film Festival, where it won the award for Best Animation in the Immersed program,[4] and the 2020 Festival du nouveau cinéma, where it won the Horizons award.[1]",Randall Okita,Randall Okita,David Oppenheim,,,,"January 23, 2020(Sundance)",Canada,English
305,The Book of Vision,It was selected as the opening film of the International Critics' Week at the 77th Venice International Film Festival.[1][4],Carlo S. Hintermann,,"Gerardo Panichi, Robin Monotti Graziadei, Vera Graziadei, Sébastien Delloye, Jerome Bellavista Caltagirone","Charles Dance, Lotte Verbeek, Sverrir Gudnason",Jörg Widmer,Piero Lassandro,"September 3, 2020(Venice)1","Italy, United Kingdom, Belgium",English
306,Books of Blood,"Books of Blood is a 2020 American anthology horror film directed by Brannon Braga and co-written by Braga and Adam Simon. It is based on Books of Blood by Clive Barker and is the second film adaptation after Book of Blood (2009). The film premiered at the 2020 Screamfest Horror Film Festival on October 6, 2020, and was released on Hulu the following day.[1][2] This was the final production by Touchstone Television before being folded into 20th Television.[3]",Brannon Braga,,"Seth MacFarlane, Michael Mahoney, Joseph J. Micucci, Jason Clark","Britt Robertson, Anna Friel, Rafi Gavron, Yul Vazquez",Michael Dallatorre,John Duffy,"October 6, 2020(Screamfest)",United States,English
307,Borat Subsequent Moviefilm,"Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,[b] or simply Borat Subsequent Moviefilm or Borat 2, is a 2020 mockumentary black comedy film directed by Jason Woliner (in his feature directorial debut). The film stars Sacha Baron Cohen as the fictional Kazakh journalist and television personality Borat Sagdiyev, and Maria Bakalova as his daughter Tutar, who is to be offered as a bride to then–U.S. vice president Mike Pence during the COVID-19 pandemic and the 2020 presidential election. A co-production between the United States and the United Kingdom, it is a sequel to 2006's Borat! Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan.",Jason Woliner,,"Sacha Baron Cohen, Monica Levinson, Anthony Hines","Sacha Baron Cohen, Maria Bakalova",Luke Geissbühler,"James Thomas, Craig Alpert, Michael Giambra","October 23, 2020","United States, United Kingdom","English, [, a, ]"
308,Borealis,"The film had been slated to premiere at the 2020 Hot Docs Canadian International Documentary Festival,[3] but after the festival was postponed in light of the COVID-19 pandemic in Canada, it was not one of the films screened when the festival proceeded virtually in May. The film instead premiered in December 2020 in a television broadcast on TVOntario.[1]",Kevin McMahon,Kevin McMahon,"Kristina McLaughlin, Kevin McMahon, Michael McMahon, Justine Pimlott, Felicity Justrabo",,John Minh Tran,Nathan Shields,"December 15, 2020",Canada,English
309,Boss Level,"Boss Level is a 2020 American science fiction action film directed by Joe Carnahan and written by Carnahan, Chris Borey, and Eddie Borey, from a story by the Boreys. It stars Frank Grillo as a retired special forces soldier who tries to escape a never-ending time loop that results in his death. Mel Gibson, Annabelle Wallis, Naomi Watts, and Michelle Yeoh co-star.",Joe Carnahan,,"Joe Carnahan, Frank Grillo, Randall Emmett, George Furla","Frank Grillo, Mel Gibson, Naomi Watts, Annabelle Wallis, Michelle Yeoh",Juan Miguel Azpiroz,Kevin Hale,"February 11, 2020(Los Angeles)1",United States,English
310,Botox,"Botox (Persian: بوتاکس) is a 2020 film co-produced by Iran and Canada and directed by Kaveh Mazaheri. It stars Susan Parvar, Mahdokht Molaie, Soroush Saeedi, Morteza Khanjani, and Mohsen Kiani. The film was picked as the best feature at the 38th Torino Film Festival, and co-writers Mazaheri and Sepinud Najian won the award for best screenplay.[1][2][3][4][5][6][7][8]",Kaveh Mazaheri,"Kaveh Mazaheri, Sepinud Najian","Kaveh Mazaheri, Soroush Saeedi","Susan Parvar, Mahdokht Molaie, Soroush Saeedi, Morteza Khanjani, Mohsen Kiani",Hamed Hosseini Sangari,Pooyan Sholevar,2020,"Iran, Canada",Persian
311,Bourák,"The film is set in a fictional town Šlukdorf. Bourák is an auto mechanic who loves music and dance and refuses to ""grow up."" His daughter Kamila becomes fed up with life in Šlukdorf and her fathers irresponsibility.",Ondřej Trojan,"Petr Jarchovský, [, 1, ]",Ondřej Trojan,Ivan Trojan,,,11 June 20202,Czech Republic,Czech
312,The Boy Behind the Door,"The Boy Behind the Door is a 2020 American horror-thriller film written and directed by David Charbonier and Justin Powell. The film stars Lonnie Chavis, Ezra Dewey, Kristin Bauer van Straten, Scott Michael Foster, and Micah Hauptman, and focuses on two boys attempting to escape their kidnapper's house. It premiered at Fantastic Fest on September 27, 2020, and was released on the streaming service Shudder on July 29, 2021.","David Charbonier, Justin Powell","David Charbonier, Justin Powell","Rick Rosenthal, Jim Hart, Ryan Scaringe, John Hermann, Ryan Lewis","Lonnie Chavis, Ezra Dewey, Kristin Bauer van Straten, Micah Hauptman, Scott Michael Foster",Julian Amaru Estrada,Stephen Boyer,"September 27, 2020(Fantastic Fest)",United States,English
313,The Boy Foretold by the Stars,"The Boy Foretold by the Stars  is a 2020 Philippine coming-of-age romantic drama based on the play Ang Hangal by the film writer and director, Dolly Dulu, during his college days.[3] It was produced by Derick Cabrido and Jodi Sta. Maria.[4] The film revolves around the budding romance between two teenage boys in a school retreat and claims to be the first mainstream film under the ""Boy's Love"" (BL) genre in the Philippines.[5]",Dolly Dulu,,"Derick Cabrido, Jodi Sta. Maria, [, 1, ], Omar Sortijas, Jose Maria Mendoza, Patricia Coronado, Cenon Palomares","Adrian Lindayag, Keann Johnson, Iyah Mina",Marvin Reyes,Noah Tonga,"December 25, 20202",Philippines,Filipino; English
314,Boyette: Not a Girl Yet,"Boyette: Not a Girl Yet is a 2020 Philippine comedy film starring Zaijian Jaranilla, Iñigo Pascual and Maris Racal, directed by Jumbo Albano.[2] The film is under Star Cinema.[3] It is about a college student who will pretend to be a straight to get him closer to his crush.[2] The film was released on KTX and iWantTFC as well as Sky Cable PPV and Cignal PPV on November 27, 2020.[4]",Jumbo Albano,,Kara U. Kintanar,"Zaijian Jaranilla, Maris Racal, Iñigo Pascual",Mackie Galvez,"Benjamin Gonzales Tolentino, Noah Tonga","November 27, 2020",Philippines,Filipino
315,Boys from County Hell,"An elderly couple start to bleed profusely from their nose, ears and eyes in their front room. As an unseen figure enters the room, they both scream in terror.",Chris Baugh,"Chris Baugh, Brendan Mullin (Co-Story By)","Brendan Mullin, Yvonne Donohoe","Jack Rowan, Nigel O'Neill, Louisa Harland, Michael Hough",Ryan Kernaghan,Brian Philip Davis,April 2020(Tribeca),Ireland,English
316,The Boys in the Band,"The Boys in the Band is a 2020 American drama film directed by Joe Mantello, based on the 1968 play of the same name by Mart Crowley, who also wrote the screenplay alongside Ned Martel. Crowley had previously adapted The Boys in the Band for a 1970 film version directed by William Friedkin[1] and starring the original 1968 Off-Broadway cast.[2] The film stars the full roster of players from the play's 2018 Broadway revival, comprising a cast of exclusively openly-gay actors. The film was released on September 30, 2020, on Netflix and received positive reviews from critics.",Joe Mantello,,"Ryan Murphy, David Stone, Joe Mantello, Ned Martel, Alexis Martin Woodall","Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesús, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins",Bill Pope,Adriaan van Zyl,"September 30, 2020",United States,English
317,Boys State,"Boys State is a 2020 American documentary film directed and produced by Jesse Moss and Amanda McBaine. It follows a thousand teenage boys attending Boys State in Texas, coming to build a representative government from the ground up.","Jesse Moss, Amanda McBaine",,"Amanda McBaine, Jesse Moss",,Thorsten Thielow,Jeff Seymann Gilbert,"January 24, 2020(Sundance)",United States,English
318,The Boys Who Said No!,"The Boys Who Said No! had its world premiere virtually at the Mill Valley Film Festival (MVFF) on October 8, 2020.[6]",Judith Ehrlich,"Michael Chandler, Judith Ehrlich","Christopher Colorado Jones, Bill Prince",,,Scott Walton,"October 8, 2020(MVFF)",United States,English
319,Brahma Janen Gopon Kommoti,"Brahma Janen Gopon Kommoti is a 2020 Indian Bengali social drama film, which is the directorial debut of Aritra Mukherjee and produced by Windows Production. It stars Ritabhari Chakraborty, Ambarish Bhattacharya, Manasi Sinha and Subhasish Mukherjee. This film was released on 6 March 2020.[2][3]",Aritra Mukherjee,Zinia Sen,"Nandita Roy, Shiboprosad Mukherjee","Ritabhari Chakraborty, Soham Majumdar",Aalok Maiti,Moloy Laha,6 March 2020,India,Bengali
320,Brahms: The Boy II,"Brahms: The Boy II is a 2020 American supernatural horror film starring Katie Holmes, Ralph Ineson, Christopher Convery and Owain Yeoman. A sequel to the 2016 film The Boy, it is directed by William Brent Bell and written by Stacey Menear, the respective director and writer of the original film.",William Brent Bell,Stacey Menear,"Matt Berenson, Gary Lucchesi, Tom Rosenberg, Jim Wedaa, Eric Reid, Roy Lee, Richard S. Wright","Katie Holmes, Ralph Ineson, Owain Yeoman, Christopher Convery, [, 1, ]",Karl Walter Lindenlaub,Brian Berdan,"February 21, 2020",United States,English
321,The Brain That Wouldn't Die,"The Brain That Wouldn't Die is a 2020 satirical remake of the 1962 American science fiction horror film of the same name. It was directed by Derek Carl and premiered at the Portland Horror Film Festival. Per Starburst magazine, the film is nearly a shot-by-shot remake of the original.",Derek Carl,,"Derek Carl, Hank Huffman, Molly Preston","Rachael Perrell Fosket, Patrick D. Green, David Withers, Jason Reynolds, Robert Blanche, Mia Allen, Julia Bray, Gaelle Lola Beauvais, Alex Tiefenthaler, Kristen Mortensen, Kelsey Norene, Bethany Jacobs, Devon Rawlings",Kevin Forrest,Derek Carl,"June 21, 2020(Portland Horror Film Festival)",United States,English
322,Brazen Hussies,"Brazen Hussies is a 2020 Australian documentary feature film recording the early period of second-wave feminism in Australia, charting the history of the Women's Liberation Movement in Australia, from 1965 to 1975. It was accompanied by the release of an album featuring songs from the film along with others, titled Brazen Hussies - Songs from the Film - and More.",Catherine Dwyer,Catherine Dwyer,"Philippa Campey, Andrea Foxworthy",,"Anna Howard, ,, Erika Addis, , Sky Davis",Rosie Jones,3 October 2020(Brisbane),Australia,
323,Breach,"Breach, also titled Anti Life or Anti-Life, is a 2020 American science fiction action horror film directed by John Suits, starring Cody Kearsley, Bruce Willis, Rachel Nichols, Thomas Jane, Johnny Messner, Corey Large, Callan Mulvey, Alexander Kane, and Kassandra Clementi. The film was shot in Fitzgerald, Georgia at the soundstages of TMG Studios. It was released by Saban Films in the United States on December 18, 2020.",John Suits,"Edward Drake, Corey Large","Corey Large, Danny Roth, Mike Donovan, Ryan Charles Griffin","Cody Kearsley, Bruce Willis, Thomas Jane",Will Stone,,"December 18, 2020",United States,English
324,Break,"A young snooker player is helped by a local gangster and a veteran Chinese pool champion to break free from a world of crime and reach the glittering lights of Beijing to play in a prestigious Chinese snooker tournament that could save his life. It has been described as ""Rocky with a snooker cue"".[3]",Michael Elkin,Michael Elkin,"Michael Elkin, Terri Dwyer, Dean Fisher","Sam Gittins, Rutger Hauer, Jamie Foreman, David Yip, Adam Deacon",Richard Swingle,Les Healey,22 July 2020,United Kingdom,English
325,Break the Silence: The Movie,"Break the Silence: The Movie follows the band on and off stage for 14 months during their Love Yourself World Tour and it further showcases their vulnerable emotional side, illustrating how they separate themselves from their stage personas. It also features stock footage of the band.",Park Jun-soo,,,"RM, Jin, Suga, J-Hope, Jimin, V, Jungkook",,,"September 10, 2020",South Korea,"Korean, English, Portuguese, Dutch"
326,Breaking Fast,"Breaking Fast is a 2020 American romantic comedy film, directed by Mike Mosallam and released in 2020.[1] An expansion of Mosallam's 2015 short film of the same title, the film stars Haaz Sleiman as Mo, a gay Muslim doctor in Los Angeles who is emotionally closed off following a painful breakup with his former partner Hassan (Patrick Sabongui); on the first day of Ramadan he meets Kal (Michael Cassidy), getting to know him over nightly iftars.[2]",Mike Mosallam,Mike Mosallam,"Sarah Bazzi, Bay Dariz, Seth Hauer, Alex Lampsos","Haaz Sleiman, Michael Cassidy, Amin El Gamal, Patrick Sabongui",Anka Malatynska,Mike Hugo,"March 7, 2020(Cinequest)",United States,English
327,Breaking Surface,"Breaking Surface is a thrilling Swedish survival drama that centers on the harrowing ordeal of two half-sisters, Ida and Tuva, during a winter diving trip in Norway. Shortly after they dive into a remote fjord, a rockslide traps Tuva underwater. With limited oxygen and the clock ticking, Ida must summon all her courage and resourcefulness to rescue her sister. As the situation grows increasingly dire, the film explores the themes of sisterhood, survival, and the relentless human spirit in the face of nature's unforgiving power.","Joachim Hedén, [, sv, ]",Joachim Hedén,"Julia Gebauer, Jonas Sörensson","Moa Gammel Ginsburg, Madeleine Martin","Anna Patarakina, Eric Börjeson",Fredrik Morheden,October 2020(Nightstream),"Sweden, Norway, Belgium","Swedish, Norwegian"
328,Breakout Brothers,"Breakout Brothers is a 2020 Hong Kong action comedy-drama film directed by Mak Ho-pong and starring Patrick Tam, Louis Cheung, Adam Pak and Justin Cheung as four prisoners who work together to plan their escape. The film was theatrically released on 3 December 2020 in Singapore and on 25 February 2021 in Hong Kong.[1][2]",Mak Ho-pong,,"Ng Kin-hung, Edmond Wong","Patrick Tam, Louis Cheung, Adam Pak, Justin Cheung",Kubbie Tsoi,Chow Kai-pong,3 December 2020(Singapore),Hong Kong,Cantonese
329,Breasts,"Breasts (Montenegrin: Grudi) is a 2020 Montenegrin drama film directed by Marija Perović. It was selected as the Montenegrin entry for the Best International Feature Film at the 93rd Academy Awards, but it was not nominated.[2]",Marija Perović,,,Marija Škaričić,,,22 January 2020,Montenegro,"Serbo-Croatian, [, 1, ]"
330,The Bridge Curse,"The film received a video game adaptation, The Bridge Curse: Road to Salvation [zh], which was released on Steam on 25 August 2022.[3] The film received a sequel titled The Bridge Curse: Ritual [zh].[4] A sequel video game, titled The Bridge Curse 2 The Extrication, was released on Steam on 9 May 2024.[5]","Lester Hsi, [, zh, ]",Chang Keng Min,"Chang Keng Min, Chuang Chi Hsiang","Summer Meng, J.C. Lin, [, zh, ], Chang Ning, [, zh, ], Vera Yan, [, zh, ]",,Chen Chien-Chih,27 February 2020,Taiwan,Mandarin
331,The Broken Hearts Gallery,"The Broken Hearts Gallery is a 2020 romantic comedy film written and directed by Natalie Krinsky, in her directorial debut. Executive produced by Selena Gomez, the film stars Geraldine Viswanathan, Dacre Montgomery, Utkarsh Ambudkar, Molly Gordon, Phillipa Soo and Bernadette Peters. The plot follows a 26-year-old in New York City who gets dumped by her latest boyfriend and creates an art gallery to display items from people's previous relationships. Theatrically released in the United States on September 11, 2020 amid the COVID-19 pandemic, the film grossed $4 million and received generally positive reviews from critics.",Natalie Krinsky,Natalie Krinsky,David Gross,"Geraldine Viswanathan, Dacre Montgomery, Utkarsh Ambudkar, Molly Gordon, Phillipa Soo, Bernadette Peters",Alar Kivilo,Shawn Paper,"September 3, 2020(Sony Pictures Studios)","Canada, United States",English
332,Broken Law,"Broken Law (previously entitled Let Your Guard Down and The Broken Law of Attraction)[1][2] is a 2020 Irish crime drama film directed by short film maker Paddy Slattery.[3][4] It stars Tristan Heanue, John Connors and Gemma-Leah Devereux.[2][5] It was the result of a crowd-funding initiative from Slattery.[1][6] It premiered at the Dublin International Film Festival in 2020, with Slattery winning an Aer Lingus Discovery Award for his work.[7][8][9]",Paddy Slattery,Paddy Slattery,"Simon Doyle, Ian Hunt-Duffy, Shane Ryan, Paddy Slattery","Tristan Heanue, Graham Earley, John Connors, Gemma-Leah Devereux, Ally Ní Chiaráin, Gary Lydon, Ryan Lincoln",Narayan Van Maele,John Desay,28 February 2020(Dublin Film Festival),Ireland,English
333,"Brother, I Cry","The film's cast also includes Lauren Hill, Violet Cameron, Jay Cardinal Villeneuve, Eric Schweig, Odessa Shuquaya, Joe Buffalo, Sarah Kelley, Lesley Mirza and Loren Anthony.",Jessie Anthony,Jessie Anthony,Jessie Anthony,"Justin Rain, Lauren Hill, Eric Schweig",Andy Hodgson,Shun Ando,"September 24, 2020(VIFF)",Canada,English
334,The Brother,"Living with muscular dystrophy, a genetic disease that is causing him to lose the use of his body, Kaïs is awoken every morning by a different member of his family. While his body is paralyzed, at night he dreams that he is the hero of his favorite manga, along with his brothers, Fehd the bodybuilder and Zaid the ninja.",Jérémie Battaglia,Jérémie Battaglia,Amélie Lambert Bouchard,Johan Fehd Karouani,Jérémie Battaglia,Andrea Henriquez,2020,Canada,French
335,Brothers by Blood,"Brothers by Blood (originally known as The Sound of Philadelphia)[5] is a 2020 crime drama film written, directed, and produced by Jeremie Guez, based on the 1991 novel Brotherly Love by Pete Dexter. It stars Matthias Schoenaerts, Joel Kinnaman, Maika Monroe, Paul Schneider, Nicholas Crovetti and Ryan Phillippe.",Jeremie Guez,,"Aimee Buidine, Julien Madon, Christine Vachon, David Hinojosa, Trevor Matthews, Nick Gordon, Jeremie Guez","Matthias Schoenaerts, Joel Kinnaman, Maika Monroe, Paul Schneider, Nicholas Crovetti, Ryan Phillippe",Menno Mans,"Damien Keyeux, Brett M. Reed","September 8, 2020(Deauville)","United States, France, Belgium, Netherlands, [, 4, ]",English
336,Bruce Springsteen's Letter to You,"Letter to You is the twentieth studio album by the American singer-songwriter Bruce Springsteen. Released in October 2020, it was Springsteen's first new studio album with the E Street Band to be released since 2014's High Hopes.[4] Letter to You was met with widespread critical acclaim; critics responded favorably to the album's treatment of issues of aging and death. The album was a commercial success, topping several international sales charts and was Springsteen's 21st top-10 album in the United States and made Springsteen the first ever artist with top five-charting albums in each of the last six decades. Since touring was not possible due to the COVID-19 pandemic, the album was promoted with an online radio station, music videos, and a custom Twitter emoji.",,,,,,,,,
337,Bruised,"Bruised is a 2020 sports drama film starring and directed by Halle Berry in her directorial debut, who also served as the producer. It co-stars Shamier Anderson, Adan Canto, Sheila Atim, Stephen McKinley Henderson and Adriane Lenox. The screenplay was written by Michelle Rosenfarb.",Halle Berry,Michelle Rosenfarb,"Basil Iwanyk, Brad Feinstein, Guymon Casady, Linda Gottlieb, Halle Berry, Gillian Hormel, Erica Lee, Paris Kassidokostas-Latsis, Terry Dougas","Halle Berry, Shamier Anderson, Adan Canto, Sheila Atim, Stephen McKinley Henderson, Valentina Shevchenko, Adriane Lenox",Frank G. DeMarco,"Jacob Craycroft, Terilyn A. Shropshire","September 12, 2020(TIFF)","United States, United Kingdom",English
338,Buchinaidu Kandriga,Buchinaidu Kandriga is a 2020 Indian Telugu-language romantic drama film directed by Krishna Poluru and starring Munna and Drishika Chander with Ravi Varma in a negative role. The film was released on aha on 21 August 2020.,Krishna Poluru,,Pamidimukkala Chandra Kumari,"Munna, Drishika Chander",Ram K. Mahesan,Marthand K. Venkatesh,21 August 2020,India,Telugu
339,Buck Alamo,"Buck Alamo or (A Phantasmagorical Ballad), or simply Buck Alamo, is a 2020 American film written and directed by Ben Epstein and starring Sonny Carl Davis, Lorelei Linklater, Chase Joliet, Kriston Woodreaux, Lee Eddy, C.K. McFarland, James Epstein, George Ensle and Bruce Dern.",Ben Epstein,Ben Epstein,,"Sonny Carl Davis, Lorelei Linklater, Chase Joliet, Kriston Woodreaux, Lee Eddy, C.K. McFarland, James Epstein, George Ensle, Bruce Dern",,,"September 18, 2020(Oldenburg)",United States,English
340,Bugs Bunny 80th Anniversary Collection,"Initially conceived by Warner Bros. Home Entertainment as a single-disc Blu-ray Disc version of The Essential Bugs Bunny DVD set with an additional Funko! doll, animation historian Jerry Beck convinced the department heads to extend the set to three discs and include cartoons not previously released on DVD or Blu-ray Disc in order to appeal to adult collectors.[3] The set includes 32 newly restored and remastered cartoons that were previously unavailable on the Looney Tunes Golden Collection DVD and Looney Tunes Platinum Collection Blu-ray Disc sets, in addition to 20 ""essential"" shorts ported over from those previous collections. Eight cartoons (Lumber Jack-Rabbit, This is a Life?, Napoleon Bunny-Part, People Are Bunny, Person to Bunny, From Hare to Heir, The Million Hare and False Hare) had been previously restored and released on the Looney Tunes Super Stars DVDs, however, this Blu-ray Disc set presents them in their original 4:3 aspect ratio (as opposed to the Super Stars sets which had them cropped to ""widescreen""). According to Beck, with this collection along with the previous Golden and Platinum Collections, Looney Tunes fans and collectors would be able to own approximately 90% of Bugs Bunny's filmography.[4]","Chuck Jones, ,, Robert McKimson, ,, Bob Clampett, ,, Friz Freleng, ,, Tex Avery, ,, Ken Harris",,"Leon Schlesinger, ,, Eddie Selzer, ,, John W. Burton, ,, David H. DePatie","Mel Blanc, ,, Jeff Bergman, ,, Eric Bauza",,,"December 1, 2020",United States,English
341,Buladó,"The film is produced by Derk-Jan Warrink and Koji Nelissen of Amsterdam-based Keplerfilm whose producing credits include The Lobster, Bullhead, Blind and Monos.",Eché Janga,"Eché Janga, Esther Duysker","Derk-Jan Warrink, Koji Nelissen","Tiara Richards, Everon Jackson Hooi, Felix de Rooy",Gregg Telussa,,2 October 2020(Netherlands),"Curaçao, Netherlands",Papiamento
342,Bulbbul,"Bulbbul is a 2020 Indian Hindi-language period horror film[2] written and directed by Anvita Dutt.[3][4] It was produced by Anushka Sharma and Karnesh Ssharma under Clean Slate Filmz [5] and starred Tripti Dimri in the lead role alongside Avinash Tiwary, Paoli Dam, Rahul Bose, and Parambrata Chattopadhyay. Tripti Dimri was praised in many reviews.[6][7] Set against the backdrop of the 1880s Bengal presidency, the film revolves around a child bride and her journey from innocence to strength. Bulbbul was released on Netflix on 24 June 2020.[8][9]",Anvita Dutt,Anvita Dutt,"Anushka Sharma, Karnesh Ssharma, [, 1, ]","Tripti Dimri, Avinash Tiwary, Paoli Dam, Rahul Bose, Parambrata Chatterjee",Siddharth Diwan,Rameshwar S. Bhagat,24 June 2020,India,Hindi
343,Bulletproof,"Bulletproof is a 2020 American documentary film directed by Todd Chandler, produced by Danielle Varga, and edited by Todd Chandler and Shannon Kennedy. The film explores the culture of fear that has developed at schools as a response to the perceived threat of school shootings and the industry that has developed to market products to secure schools.[1][2][3] Filmed in High Ridge, MO, Texas City, TX, La Marque, TX, East Palo Alto, CA, Commerce City, CO, Chicago, IL, Pittsburgh, PA, Washington DC, New York, NY, Los Angeles, CA, it was released June 21, 2020 in the United States.",Todd Chandler,,"Todd Chandler, Danielle Varga",,Emily Topper,"Todd Chandler, Shannon Kennedy",2020,United States,
344,Bunker,"Bunker is a 2020 Indian Hindi drama and war film directed by Jugal Raja and produced by Wagging Tail Entertainment and Falcon Pictures. Starring Abhijeet Singh, Arindita Kalita, and Gaurav Gupta, the film follows the story of a soldier trapped in a bunker at the Line of Control in Poonch, Jammu during a ceasefire violation.[1] The film was shot predominantly on a small bunker set and completed in five days and released on 17 January 2020.[2] It received mixed reviews and was screened at various Indian and international film festivals.[3]",Jugal Raja,Jugal Raja,Gaurav Gupta,"Abhijeet Singh, Arindita Kalita, Gaurav Gupta",S. R. Sathish Kumar,Karan Varia,17 January 2020(IND),India,Hindi
345,Burn the Witch,Burn the Witch (stylized as BURN ☩HE WITCH) is a Japanese manga series written and illustrated by Tite Kubo. It was first published in Shueisha's Weekly Shōnen Jump as a one-shot chapter in July 2018. A serialized continuation of the one-shot is being published in the same magazine with a seasonal release schedule. The four-chapter first season was published from August to September 2020. A second season of the manga has been announced. The series' title comes from a 2016 song by the English band Radiohead.[2][3],,,,,,,,,
346,Burrow,"Burrow is a 2020 American animated short film written and directed by Madeline Sharafian, produced by Michael Capbarat at Pixar Animation Studios, and distributed by Walt Disney Studios Motion Pictures. The plot features a young rabbit as she tries to build the burrow of her dreams, becoming embarrassed each time she accidentally digs into a neighbor's home. The eighth short film in the SparkShorts series, the short was released on Disney+ and in theaters with Soul in countries where Disney+ was not available on December 25, 2020. It re-released with Soul in theaters in the United States on January 12, 2024. The short was nominated for the Academy Award for Best Animated Short Film at the 93rd Academy Awards.",Madeline Sharafian,Madeline Sharafian,Michael Capbarat,,Andrew Jimenez,Anna Wolitzky,"December 25, 2020(Disney+)",United States,English
347,Butchers,"Two sadistic brothers have dug into the back country and, from the deep freeze of winter to the dog days of summer, anyone who crosses their path is dead meat in North Dakota.",Adrian Langley,"Adrien Langley, Daniel Weissenberger","Adrian Langley, Doug Phillips, Kevin Preece","Simon Phillips, Michael Swatton, Julie Mainville, Anne-Carolyne Binette, Samantha De Benedet, James Gerald Hicks",Adrian Langley,Adrian Langley,15 October 2020(Telluride Horror Show),Canada,English
348,Butt Boy,Butt Boy is a 2020 American dark comedy horror film written by Tyler Cornack and Ryan Koch and directed by Cornack in his directorial debut. The film is a spinoff from a Tiny Cinema comedy sketch.,Tyler Cornack,"Tyler Cornack, Ryan Koch","Ryan Koch, Brian Wolfe",,Billy Morean,Austin Lewis,"April 14, 2020",United States,English
349,Butter,"Butter (also titled Butter's Final Meal)[5] is a 2020 American comedy-drama film directed by Paul A. Kaufman and starring Mira Sorvino, Mykelti Williamson, Brian Van Holt, Ravi Patel, Annabeth Gish, McKaley Miller, and Alex Kersting. It is based on the novel of the same name by Erin Jade Lange.[6]",Paul A. Kaufman,Paul A. Kaufman,"J. Todd Harris, Paul A. Kaufman, Christina Sibul","Mira Sorvino, Mykelti Williamson, Brian Van Holt, Ravi Patel, Annabeth Gish, McKaley Miller, Alex Kersting",Greg Gardiner,Garry M.B. Smith,"March 7, 2020(Cinequest Film & Creativity Festival)1",United States,English
350,Bye Bye Morons,"Bye Bye Morons (French: Adieu les cons) is a 2020 French comedy drama film written and directed by Albert Dupontel. The film stars Virginie Efira, Albert Dupontel and Nicolas Marié.[3][4]",Albert Dupontel,,Catherine Bozorgan,"Virginie Efira, Albert Dupontel, Nicolas Marié",Alexis Kavyrchine,Christophe Pinel,"October 21, 2020(France1)",France,French
351,C U Soon,"C U Soon (stylized as c u soon.) is a 2020 Malayalam-language Indian screenlife mystery thriller film written and directed by Mahesh Narayanan.[1][2] The film is set in a computer screen and stars Fahadh Faasil, Roshan Mathew and Darshana Rajendran, with Saiju Kurup, Amalda Liz and Maala Parvathi in supporting roles.[3] Produced by Fahadh Faasil and Nazriya Nazim, the film was released on 1 September 2020 on Amazon Prime Video.[4][5]",Mahesh Narayanan,Mahesh Narayanan,"Fahadh Faasil, Nazriya Nazim","Fahadh Faasil, Roshan Mathew, Darshana Rajendran","Sabin Uralikandy, Virtual cinematography, :, Mahesh Narayanan",Mahesh Narayanan,1 September 2020,India,Malayalam
352,C.L.E.A.N.,"C.L.E.A.N. is about four patients who all suffer from various addictions, such as addiction to alcohol, drugs, and sex. In his sanatorium, Dr. Sutter offers a cure in which he uses the C.L.E.A.N. (Cerebral Lateralization Enforcement and Neuroactivation) program that he practices modifying the behavioral patterns of the brain in order to heal his patients. What looks like hope at first glance turns into chaos, which is ultimately about pure survival. Only the patient Alice, who has been plagued by fear and visions from a very young age, especially because she has witnessed the gruesome murder of her own mother, realizes that something is wrong and is ultimately in the clutches of a perfidious pact.",Aurelio Agliata,Konstantin Georgiou,Vjekoslav Katusin,"Costas Mandylor, Tom Sizemore, Jenny Paris, Fred Lobin, Maik van Epple, Vjekoslav Katusin, Lou Cefair",,Ivica Peric,2020,Croatia,English
353,Cadaver,"The Norwegian city in which Leonora (Gitte Witt) and Jacob (Thomas Gullestad) live with their little daughter Alice (Tuva Olivia Remman), was hit by a nuclear disaster. There seems to be no electricity, no work, nor any food left and no hope. While everybody is struggling to survive Leonora hears about a theatre play – which comes with a warm meal – at one of the few buildings that has not been destroyed: the hotel. The family is hungry and Leonora hopes for a good time, so she buys evening tickets for all of them.",Jarand Herdal,Jarand Herdal,,"Gitte Witt, Thomas Gullestad, Thorbjørn Harr, Tuva Olivia Remman, Kingsford Siayor, Maria Grazia Di Meo, Jonatan Rodriguez, Trine Wiggen",Jallo Faber,Jens Peder Hertzberg,"October 22, 2020",Norway,Norwegian
