,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
888,The Eastern,"The making of this film lasted for four years, shot in twelve countries, including Iran, Japan, France, Switzerland, Italy, Turkey, Canada, America, Syria, Spain, and Russia, and the interviewees speak eleven languages. In order to produce this film, interviews were conducted with about 120 people, and finally, after evaluation, the words of more than sixty people were included in the film.[1]",Masoud Taheri,Masoud Taheri,Chehrdad Film,,,,2018,Iran,"11 languages including English, Persian and Japanese"
889,Eating You Alive,"Eating You Alive is a 2018 health documentary film about why Americans are suffering from chronic diseases such as cardiovascular disease, diabetes, obesity, autoimmune disease, among other diseases, and whether the outcome can be changed.[1]",Paul David Kennamer Jr.,Paul David Kennamer Jr.,"Merrilee Jacobs, Paul David Kennamer Jr.",,,Paul David Kennamer Jr.,"April 5, 2018",United States,English
890,Echcharikkai,"Echcharikkai – Idhu Manidhargal Nadamaadum Idam (transl. Warning — Humans Territory) is a 2018 Indian Tamil-language crime thriller film written and directed by debutant director Sarjun KM. The film stars Sathyaraj, Varalaxmi Sarathkumar, Kishore, Vivek Rajgopal and Yogi Babu. Principal photography of the film commenced at Pondicherry in December 2016 and shooting wrapped up in April 2017. This story is inspired by The Disappearance of Alice Creed. The film was released on 24 August 2018 on the eve of Varalakshmi Vratam and received poor reviews from the audience.[1]",Sarjun KM,"Sarjun KM, Priyanka Ravindran",Sundar Annamalai,"Sathyaraj, Varalaxmi Sarathkumar, Kishore, Vivek Rajgopal, Yogi Babu",Sudarshan Srinivasan,Karthik Jogesh,24 August 2018,India,Tamil
891,Echo in the Canyon,"Echo in the Canyon is a 2018 film directed by Andrew Slater. The film is produced by Eric Barrett and Andrew Slater under the banner of Mirror Films. The film stars Lou Adler, Fiona Apple, the Beach Boys, Beck, Tom Petty, Jackson Browne, Buffalo Springfield, the Byrds, Jade Castrinos, Eric Clapton, David Crosby, Jakob Dylan, Norah Jones, and Michelle Phillips.",Andrew Slater,"Eric Barrett, Andrew Slater",,"Jakob Dylan, Brian Wilson, Tom Petty, Ringo Starr, Eric Clapton, Stephen Stills, Roger McGuinn, Michelle Phillips, David Crosby, Graham Nash",,,2018,United States,English
892,Edge of the Knife,"Edge of the Knife (Haida: SG̲aawaay Ḵ'uuna, [sɢ̥aːwaːj qʼuːna]) is a 2018 Canadian drama film co-directed by Gwaai Edenshaw and Helen Haig-Brown. It is the first feature film spoken only in the Haida language. Set in 19th-century Haida Gwaii, it tells the classic Haida story of a traumatized and stranded man transformed into Gaagiixiid, the wildman.","Gwaai Edenshaw, Helen Haig-Brown","Gwaai Edenshaw, Jaalen Edenshaw, Graham Richard, Leonie Sandercock","Jonathan Frantz, Stephen Grosse","Tyler York, William Russ, Adeana Young",Jonathan Frantz,Sarah Hedar,1 September 2018(Haida Gwaii),Canada,"Haida, (with English subtitles)"
893,Edge of the World,"Edge of the World is a 2018 American drama film directed by Randy Redroad and starring Richard T. Jones, Trevor St. John, Will Meyers and Megan Dalby. the film premiered at the Dallas International Film Festival.",Randy Redroad,,,"Richard T. Jones, Trevor St. John, Will Meyers, Megan Dalby",,Randy Redroad,"May 5, 2018(Dallas Film Festival)",United States,English
894,Ee Maaya Peremito,"Ee Maaya Peremito (transl. What's the Name of this Magic?) is a 2018 Telugu-language romance film, produced by Divya Vijay on V.S.Creative Works and directed by Ramu Koppula. Starring newcomers Rahul Vijay and Kavya Thapar with music composed by Mani Sharma.[1][2]",Ramu Koppola,Ramu Koppola,Divya Vijay,"Rahul Vijay, Kavya Thapar",Shyam K. Naidu,Naveen Nooli,21 September 2018,India,Telugu
895,Ee Nagaraniki Emaindhi,"Ee Nagaraniki Emaindi (transl. What happened to this city?) is a 2018 Indian Telugu-language buddy comedy film written and directed by Tharun Bhascker, and produced by D. Suresh Babu under Suresh Productions. The film stars Vishwak Sen, Sai Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary, and Galusheya Daria. Music was composed by Vivek Sagar with cinematography by Niketh Bommireddy and editing by Ravi Teja Girijala. Released on June 29, 2018, the film initially received positive reviews from critics and went on to become a commercial success. Over time, it has achieved cult classic status.",Tharun Bhascker,Tharun Bhascker,D. Suresh Babu,"Vishwak Sen, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakamanu, Anisha Ambrose, Simran Choudhary",Niketh Bommireddy,Ravi Teja Girijala,29 June 2018,India,Telugu
896,Ee.Ma.Yau.,"Ee.Ma.Yau. (Malayalam: ഈ.മ.യൗ.)[a] is a 2018 Indian Malayalam-language independent tragedy film directed by Lijo Jose Pellissery and written by P. F. Mathews.[1][2] It stars Vinayakan, Chemban Vinod Jose, Pauly Valsan, Bitto Davis, Kainakary Thankaraj, Dileesh Pothan and Arya Salim in the main roles.[3][4] The film had its premiere on 30 November 2017 and was theatrically released on 4 May 2018.[5] The film revolves around the death and funeral of an older man from the Latin Catholic community in Chellanam, Ernakulam district. Lijo Jose Pellissery won the Best Director Award at the 48th Kerala State Film Awards for Ee.Ma.Yau.[6] The film won the Silver Peacock-Best Director and Best Actor (Chemban Vinod Jose) awards at the 49th International Film Festival of India. It also won two awards at the International Film Festival of Kerala viz. the NETPAC Award for Best Asian film in Competition and the Golden Crow Pheasant Award for the best director.[7][8] It was included in The Hindu's top 25 Malayalam films of the decade and is widely regarded as one of the defining movies of the New Wave Movement.[9]",Lijo Jose Pellissery,,"Aashiq Abu, Rajesh George Kulangara","Kainakary Thankaraj, Chemban Vinod Jose, Vinayakan, Dileesh Pothan, Arya Salim",Shyju Khalid,Deepu S. Joseph,4 May 2018,India,Malayalam
897,Eeda,"Eeda (transl. Here) is a 2018 Indian Malayalam-language romance film written, edited and directed by B. Ajithkumar.[1] The film is a modern take on William Shakespeare's Romeo and Juliet, set in the backdrops of political violence in Kannur, north Malabar.[2] Shane Nigam and Nimisha Sajayan play the lead roles.[3][4] Eeda was produced by Sharmila Rajaa through Delta Studio, in collaboration with Collective Phase One.[5] The executive producers were TRS Muthukumaar, K.J. Ayyappan, and Sukumar Thekkepatt. The film won the John Abraham Award for Best Malayalam Film in 2017.[6]",B. Ajithkumar,B. Ajithkumar,Sharmila Rajaa,"Shane Nigam, Nimisha Sajayan",Pappu,B. Ajithkumar,5 January 2018,India,Malayalam
898,Eerie,"Eerie is a 2018 Filipino supernatural horror film written and directed by Mikhail Red, and starring Bea Alonzo and Charo Santos-Concio. The film uses elements of suspense writing and follows a clairvoyant guidance counselor called Pat Consolacion (Alonzo). She embarks on solving the mysterious death of a student at the Catholic school, Sta. Lucia Academy for girls.[3][4]",Mikhail Red,,Micah Tadena,"Bea Alonzo, Charo Santos-Concio, Jake Cuenca, Maxene Magalona",Mycko David,"Jeffrey Loreno, Nicolas Red","December 3, 2018(Singapore International Film Festival)",Philippines,Tagalog
899,Egg,"Egg is a 2018 American comedy film directed by Marianna Palka and written by Risa Mickenberg. The film stars Christina Hendricks, Alysia Reiner, David Alan Basche, Anna Camp and Gbenga Akinnagbe. The plot centers on conceptual artist Tina (Reiner), when she introduces her eight-month pregnant art school rival (Hendricks) to her non-traditional surrogate Kiki (Camp), the truth comes out and the patriarchy fights to hang on.",Marianna Palka,Risa Mickenberg,"David Alan Basche, Michele Ganeless, Alysia Reiner","Christina Hendricks, Alysia Reiner, David Alan Basche, Gbenga Akinnagbe, Anna Camp",Zelmira Gainza,Sophie Corra,"April 21, 2018(Tribeca Film Festival)",United States,English
900,Ego,Ego is a 2018 Indian Telugu-language drama film written and directed by R.V. Subramanyam. It stars Aashish Raj Bidkikar and Simran Sharma.,R.V. Subramanyam,R.V. Subramanyam,"Anil Kiran, Kaushal Kiran, Vijay Kiran","Aashish Raj Bidkikar, Simran Sharma",Prasad GK,Shiva Y Prasad,5 January 2018,India,Telugu
901,Ehi's Bitters,"Ehi's Bitters is a 2018 Nigerian film, written, produced and directed by Biodun Stephen. The story (narrated in a non-linear manner) is centered around the life of a young woman, Ehisoje who is being emotionally and physically abused by her mother, who blames her for her unmarried status, which has limited her prestige as a woman. After several failed relationships, her mother finally settles for a man who sexually abuses Ehisoje, but she doesn't mind as long as she remains married. She renders Ehisoje homeless after she got pregnant for her step-father.",Biodun Stephen,Biodun Stephen,Biodun Stephen,"Fathia Balogun, Deyemi Okanlawon, Enado Odigie",,,2018,Nigeria,
902,Eia's Christmas at Phantom Owl Farm,"The film's protagonist is a 10-year-old girl Eia, who spends her Christmas holiday in the mysterious farmstead in Southern Estonia. In the farmstead she encounters several challenges and adventures, including rescuing an old primeval forest and finding her family's biggest secret.[3]",Anu Aun,,"Maie Rosmann-Lill, Maario Masing",,,,2018,Estonia,Estonian
903,Tomica Hyper Rescue Drive Head Kidō Kyūkyū Keisatsu,"In the near future, to cope with various incidents and disasters as well as crime, the Mobile Rescue Police developed the Drive Head, which transforms from a vehicle form to the robotic Walker Vehicle form. Gō Kurumada, the son of the Drive Head's developer, was discovered to be a suitable driver for Drive Head 01 Sonic Interceptor. He and the other children who were selected must bravely stand up to face incidents and disasters.",,,,,,,,,
904,The Eighth Commissioner,"The Eighth Commissioner (Croatian: Osmi povjerenik) is a 2018 Croatian comedy film directed by Ivan Salaj. It was selected as the Croatian entry for the Best Foreign Language Film at the 91st Academy Awards, but it was not nominated.[1][2]",Ivan Salaj,Ivan Salaj,Jozo Patljak,"Frano Mašković, Borko Perić, [, hr, ]",Slobodan Trninić,Marin Juranić,5 January 2018,Croatia,Croatian
905,Eighth Grade,"Eighth Grade is a 2018 American coming-of-age comedy-drama film written and directed by Bo Burnham. It follows a teenager (Elsie Fisher) who struggles with anxiety but strives to gain social acceptance from her school peers during their final week of eighth grade, and copes by publishing apparently motivational vlogs despite spending much of her time obsessing over social media.",Bo Burnham,Bo Burnham,"Scott Rudin, Eli Bush, Lila Yacoub, Christopher Storer","Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan, Fred Hechinger",Andrew Wehde,Jennifer Lilly,"January 19, 2018(Sundance)",United States,English
906,Ek Je Chhilo Raja,"Ek Je Chhilo Raja is an Indian Bengali drama film directed by Srijit Mukherji,[2] under the banner of SVF Entertainment Pvt Ltd, starring Jisshu Sengupta in the title role of Maharaja Mahendra Kumar Chowdhury as well as the Bhawal sanyasi. The film also stars Jaya Ahsan, Aparna Sen, Anirban Bhattacharya, Anjan Dutt, Rudranil Ghosh and Sreenanda Shankar.[2] The movie was released during Durga puja 2018.[2][3] 
Most of the film was shot at Kathgola in Murshidabad. The film won the National Film Award for Best Feature Film in Bengali at India's 66th National Film Awards.[4]",Srijit Mukherji,Srijit Mukherji,,Jisshu Sengupta,Gairik Sarkar,Pronoy Dasgupta,12 October 20181,India,Bengali
907,Eka Dawasaka Api,"The muhurat ceremony was celebrated at the Regal Theatre, Colombo.[5] The film was released on 1 February 2018 for a limited period in 40 film theaters across Sri Lanka in the CEL Film Circuit.[6][7] The film was also will be available in Dialog's Vinode mobile app as well.[8] It is the 1295th Sri Lankan film in the Sinhala cinema.[9]","Anuruddha Jayasinghe, [, 1, ]",Anuruddha Jayasinghe,Vinode Productions,"Pubudu Chathuranga, Nayanathara Wickramaarachchi, Medha Jayaratne",Chinthaka Somakeerthi,Ajith Ramanayake,1 February 2018,Sri Lanka,Sinhala
908,Ekkees Tareekh Shubh Muhurat,Ekkees Tareekh Shubh Muhurat is directed by Pavan Kumar. Sanjay Mishra is playing a character of 55-year-old man Pandit Girdhari Laal Sharma.[3][4][5],Pavan Kumar,Pavan Kumar,"Mukesh Jodhani, Rajesh Jodhani","Sanjay Mishra, Brijendra Kala",Sudhir Chandra,Suraj Gunjal,2 November 20181,India,Hindi
909,Ekram,"Ekram (transl. इकराम)[2] is an Indian Bollywood drama film, written and directed by Saheem Khan.",Saheem Khan,Shamael Khan,,"Saheem Khan, Sakshi Lathaik",,Miraj Ali,November 2018(Creation International Film Festival)1,India,Hindi
910,Ekti Cinemar Golpo,"Ekti Cinemar Golpo (Bengali: একটি সিনেমার গল্প, lit. 'Story of a film') is a 2018 Bangladeshi film starring Indian actress Rituparna Sengupta and Bangladeshi stars Alamgir, Champa and Arifin Shuvoo.[1] Alamgir produced and directed the film. The film was released on 13 April 2018.[2][3] This movie is about the people involved with the film industry. The story revolves around a film director, his actress wife, and an aspiring actor.[4]",Alamgir,,Icon Entertainment,"Alamgir, Arifin Shuvoo, Rituparna Sengupta, Champa, Sadek Bachchu, Saberi Alam, Jannatul Ferdoush Peya",,,13 April 2018,Bangladesh,Bengali
911,Ekvtime: Man of God,"In February 1921, when the Soviet Red Army invaded independent Georgia, the government decided to collect all the treasury property and museum treasures and flee to France in emigration. They entrusted Ekvtime Takaishvili to collect the treasure and appointed him as a guard. The film's story is about hard life and activities of Ekvtime Takaishvili (actor - Rezo Chkhikvishvili), which mainly includes the history of the protection of the treasury in France during the emigration period in 1921-1945 and how Ekvtime Takaishvili returned it. The film is accompanied by the love story of Ekvtime and his charming wife and companion Nino Poltaratskaya (actress - Ana Tsereteli). Ekvtime himself defended the Georgian treasure from the world famous museums, rich collectors, court disputes, criminals and fascists to endure all the temptations and never deviated from the supreme moral principles and love of the Motherland, what is eternal in this world. In 2002 the Georgian Holly Church canonized Ekvtime Takaishvili and named him as „Man of God“.[1]",Nikoloz Khomasuridze,,Nikoloz Khomasuridze,"Rezo Chkhikvishvili, Ana Tsereteli, Gogi Turkiashvili, Giorgi Megrelishvili, Lasha Oniani, Jano Izoria",Vasili Dolidze,"Nikoloz Khomasuridze, ,, Elene Mgeladze",20 January 2018,Georgia,Georgian
912,El Badla,"Walid (Tamer Hosny) and Hamada (Akram Hosny) are two friends who are struggling with their careers. Walid is a failed actor who works as a delivery man, while Hamada is a football referee, but he doesn't do well in it. They decide to dress up as police officers for a costume party, hoping to impress some girls. However, they soon realize that civilians and even cops think they are the real deal. Seeing this as an opportunity for female attention and perks, the duo begin a spree of crazy adventures. They also meet Rim (Amina Khalil), a beautiful journalist who is investigating a corruption case involving a powerful businessman named Markos (Maged El-Masri).",Mohamed Gamal El-Adl,Ayman Wattar,Walid Mansour,"Tamer Hosny, Akram Hosny, Amina Khalil, Maged El-Masri",Ahmed Kardous,Ahmed Hafez,"August 20, 2018(Egypt)",Egypt,Arabic
913,El Chicano,"El Chicano is a 2018 American superhero film directed by Ben Hernandez Bray, who co-wrote the screenplay with Joe Carnahan.[3] It stars Raúl Castillo, Aimee Garcia, and George Lopez.[4] The film has been called the ""first Latino superhero movie"".[5] It premiered in September 2018 at the Los Angeles Film Festival and was released in the United States on May 3, 2019.
Frank Grillo and Lorenzo di Bonaventura served as executive producers. The story follows Detective Diego Hernandez, who discovers that his twin brother’s death is tied to gang violence and a powerful drug cartel. As he digs deeper, he uncovers a hidden vigilante myth known as “El Chicano,” a masked figure seen as a protector of East L.A. Diego takes on the mantle to fight against a rising criminal threat and to reconcile with his brother’s past.",Ben Hernandez Bray,"Ben Hernandez Bray, Joe Carnahan",Joe Carnahan,"Raúl Castillo, Aimee Garcia, Jose Pablo Cantillo, David Castañeda, Marco Rodríguez, Sal Lopez, Marlene Forte, Kate del Castillo, George Lopez",Juan Miguel Azpiroz,Jason Hellmann,"September 22, 2018(LAFF)",United States,English
914,Eldorado,"Eldorado is a 2018 Swiss documentary film directed by Markus Imhoof. It premiered at the 68th Berlin International Film Festival in February 2018 and was selected as the Swiss entry for the Best Foreign Language Film at the 91st Academy Awards, but was not nominated. It won the Swiss Film Award for Best Cinematography in 2019.[1][2][3]",Markus Imhoof,Markus Imhoof,"Markus Imhoof, Thomas Kufus, Pierre-Alain Meier",,Peter Indergand,"Beatrice Babin, Thomas Bachmann",22 February 2018(Berlin),"Switzerland, Germany",German
915,Elephant Path: Njaia Njoku,"The film premiered on 10 June 2018 at DOC NYC.[5][6] The film received positive reviews from critics and screened in many film festivals.[7][8] In 2019 at the Richmond International Film Festival, the documentary won the Best of Festival Award for the Documentary Feature. The film was also had many special screening world-wide: National Museum of American History in Washington, DC, NYU Law School, Santa Cruz Film Festival, Community Screening at Penn State University, Green Screen International Wildlife Film Festival, LoKo Arts Festival, Princeton Environmental Film Festival etc. In 2019 at the Wisconsin Film Festival, the film won the Golden Badger Award and then won the Best Feature Film Award at the Portland EcoFilm Fest.[9]",Todd McGrain,Todd McGrain,"Todd McGrain, Scott Anger",,Scott Anger,Sara Khaki,10 June 2018,"United States, Central African Republic, Israel",English
916,The Elephant Queen,"The Elephant Queen is a 2018 documentary film directed by Victoria Stone and Mark Deeble, and narrated by Chiwetel Ejiofor. It tells the journey of a family of elephants in the African savannah when they are forced to leave their waterhole. The film was produced by Lucinda Englehart under the banner of Deeble & Stone.","Victoria Stone, Mark Deeble",,Lucinda Englehart,,,,"September 8, 2018(TIFF)","United Kingdom, [, 2, ], Kenya, [, 2, ]",
917,An Elephant Sitting Still,"The film opened the 12th FIRST International Film Festival in Xining in late July 2018.[8][9]  It was released in the United Kingdom on December 14, 2018, and in the United States on March 8, 2019. Critics' reviews were highly positive.",Hu Bo,,Fu Dongyan,"Peng Yuchang, Wang Yuwen, Zhang Yu, Liu Congxi",Fan Chao,Hu Bo,"February 16, 2018(Berlinale)",China,Mandarin
918,Elevator,"Elevator (Russian: Лифт, Lift) is a 2018 Kazakh drama film and psychological thriller[2] by Nurtas Adambay.[1][3] It is known as Adambay's second drama film, being preceded by Taraz,[3] and Adambay's fifth movie overall.[2]","Nurtas Adambay, [, 1, ]",,,"Jandos Aibasov, Isbek Äbilmäjinov, Gülnaz Jolanova",,,"October 11, 2018(Kazakhstan)3",Kazakhstan,"Russian and, Kazakh"
919,Eleven Eleven,"Eleven Eleven is a 2018 American comedy film produced by Joe Gruberman, and written and directed by Chris Redish. Doc Wyatt served as Consulting Producer to providing guidance for this, Redish's first feature-length project.[2]",Chris Redish,Chris Redish,Joe Gruberman,"Krista Allen, Charles Baker, Christina Rose, Jennifer Pfalzgraff",Webb Pickersgill,,May 2018(Hollywood Boulevard),United States,English
920,Elizabeth Harvest,"Elizabeth Harvest is a 2018 American science fiction horror thriller film[3][4] written and directed by Sebastian Gutiérrez and starring Abbey Lee, Ciarán Hinds, Carla Gugino, Matthew Beard, and Dylan Baker. The film follows a young woman who discovers that her new husband, a wealthy scientist, is hiding dark secrets. It is based on the French folktale ""Bluebeard"" by Charles Perrault.[1][5]",Sebastian Gutiérrez,Sebastian Gutiérrez,"Brian Kavanaugh-Jones, Leon Clarance, Fred Berger, Sebastian Gutiérrez","Abbey Lee, Ciarán Hinds, Carla Gugino, Matthew Beard, Dylan Baker",Cale Finot,Matt Mayer,"March 10, 2018(SXSW)",United States,English
921,Ellen DeGeneres: Relatable,"Ellen DeGeneres: Relatable is a 2018 American stand-up comedy special by comedian and television host Ellen DeGeneres. It premiered on December 18, 2018, on Netflix.[1] Relatable was her first stand-up special since her 2003 HBO special, Ellen DeGeneres: Here and Now.[2]",,,,,,,,,
922,Ellen: The Ellen Pakkies Story,"Ellen: The Ellen Pakkies Story is a South African drama film, directed by Daryne Joshua. Based on true events, the film tells a story of the damaged relationship between a woman and her son, who is addicted to drug abuse. It also narrates the itinerary of events that led to the murder of her son, as well as the legal process that followed afterwards.[1] It received multiple nominations at the 15th Africa Movie Academy Awards.",Daryne Joshua,Amy Jephta,,"Jill Levenberg, Jarrid Geduld, Elton Landrew",,,7 September 2018,South Africa,Afrikaans
923,Elliot the Littlest Reindeer,"Elliot the Littlest Reindeer is a 2018 Canadian animated Christmas film written and directed by Jennifer Wescott and featuring the voices of Josh Hutcherson, Samantha Bee, Martin Short, Morena Baccarin, Jeff Dunham and John Cleese.[4][5][6][7] When Blitzen retires from Santa's reindeer team, Elliot and his friend Hazel travel to the North Pole. As Elliot  takes on the North Pole tryouts, Hazel learns that Christmas may be headed for disaster. Meanwhile, back at their farm, a sinister lady threatens the lives of their friends, and Elliot is faced with the biggest decision of his life.",Jennifer Westcott,Jennifer Westcott,"Lucas Lynette-Krech, Victoria Westcott","Josh Hutcherson, Samantha Bee, Martin Short, Morena Baccarin, Jeff Dunham, John Cleese",,Ali Lynette-Krech,"October 19, 2018(Turkey)1",Canada,English
924,Elvis Presley: The Searcher,"Elvis Presley: The Searcher is a 2018 television documentary film produced by HBO Documentary Films about the life of American singer Elvis Presley, highlighting the development of his musical artistry. Co-edited, co-produced, and directed by Thom Zimny, the documentary premiered at the 2018 South by Southwest Film Festival in two parts on March 14 and 15, 2018, before airing on HBO in its entirety on April 14.[2]","Thom Zimny, [, 1, ]","Alan Light, [, 1, ]","Jon Landau, [, 1, ], Thom Zimny, [, 1, ], Kary Antholis, [, 1, ]",,"Luke Geissbuhler, [, 1, ]","Anoosh Tertzakian, [, 1, ], Thom Zimny, [, 1, ]",March 2018(SXSW),United States,English
925,Ema Nudar Umanu,,"Thomas Henning, Jonas Rusumalay Diaz","Thomas Henning, Jonas Rusumalay Diaz","Jonas Rusumalay Diaz, [, 2, ]","Apo Quintao, [, 2, ]","Giovanni C. Lorusso, [, 3, ]",Lucy McCallum,16 August 2018(MIFF)1,East Timor,Tetum
926,Emma Peeters,"Emma Peeters is a 2018 romantic comedy film written and directed by Nicole Palo. It is an international production between Belgium and Canada, starring Monia Chokri in the title role of Emma. The film had its world premiere at the 75th Venice International Film Festival.[1]",Nicole Palo,Nicole Palo,,Monia Chokri,Tobie Marier-Robitaille,Frédérique Broos,8 September 2018(Venice),"Belgium, Canada",French
927,"Empathy, Inc.","Empathy, Inc. is a 2018 American science fiction thriller film directed by Yedidya Gorsetman, written by Mark Leidner, and produced by Josh Itzkowitz, starring Zack Robidas, Kathy Searle, and Jay Klaitz. It premiered at Cinepocalypse on June 24, 2018, and was released theatrically on September 6, 2019.",Yedidya Gorsetman,Mark Leidner,"Yedidya Gorsetman, Josh Itzkowitz, Mark Leidner","Zack Robidas, Kathy Searle, Jay Klaitz",Darin Quan,Shira Arad,"June 24, 2018(Cinepocalypse)",United States,English
928,The Emperor of Paris,"The film is about an ex-con and master escape artist turned police officer.[5] Under the reign of Napoleon, Francois Vidocq cuts a notorious figure in the Parisian underworld - he is the only man to have escaped the country's most terrifying penal colonies. However, some years later, he switched sides and gets hired as a detective in the French police. He founded his own private detective agency and became one of the greatest detectives of all times. However, his dark past still follows him...",Jean-François Richet,,"Eric Altmayer, Nicolas Altmayer",Vincent Cassel,Manuel Dacosse,Hervé Schneid,3 November 2018(Arras Film Festival),France,French
929,Empowered,Empowered (Spanish: Sin rodeos) is a 2018 Spanish comedy film directed by Santiago Segura which consists of a remake of the 2016 Chilean film No Filter (Sin filtro). The cast is led by Maribel Verdú.,Santiago Segura,,"Mercedes Gamero, María Luisa Gutiérrez, Santiago Segura","Maribel Verdú, Diego Martín, Toni Acosta, Rafael Spregelburd, Bárbara Santa Cruz, Cristina Castaño, Cristina Pedroche, David Guapo, Quique San Francisco, Florentino Fernández, El Gran Wyoming, Candela Peña, Santiago Segura",Kiko de la Rica,Fran Amaro,2 March 2018,Spain,Spanish
930,Emu Runner,"Emu Runner is a 2018 Australian independent film.[1] It was written and directed by Imogen Thomas, who wrote the film with Indigenous script consultant Frayne Barker.[1]  Thomas co-produced the film with Victor Evatt.",Imogen Thomas,"Imogen Thomas, Frayne Barker","Imogen Thomas, Victor Evatt","Rhae-Kye Waites, Wayne Blair, Rob Carlton, Georgia Blizzard",,,7 September 2018(TIFF),Australia,English
931,Encounter,"Encounter is an American science fiction film starring Luke Hemsworth, Anna Hutchison, Tom Atkins, Glenn Keogh, Vincent M. Ward, Cheryl Texiera and Christopher Showerman, and is written and directed by Paul J. Salamoff.",Paul J. Salamoff,Paul J. Salamoff,,Luke Hemsworth,,,"December 9, 2018(Other Worlds Austin)",United States,English
932,End Game,End Game is a 2018 American short documentary film by Rob Epstein and Jeffrey Friedman[1] about terminally ill patients in a San Francisco hospital meeting medical practitioners seeking to change the perception around life and death.[2][3][4] The film was executive produced by Steven Ungerleider and Shoshana R. Ungerleider.[5] It was released by Netflix.,"Rob Epstein, Jeffrey Friedman",,"Rob Epstein, Jeffrey Friedman, Rebekah Fergusson, William Hirsch, Shoshana R. Ungerleider, Steven Ungerleider, David Ulich",,"Rob Epstein, Rebekah Fergusson","Rob Epstein, Jeffrey Friedman","January 21, 2018(Sundance)",United States,English
933,The Endless Film,"La Película Infinita is a film essay[5] featuring an assemblage of never completed films[6][7] from the 1950s onwards from archives of a Buenos Aires film museum (for which the director is also curator), presenting an alternate parallel history of film and tracing a national cinema that never was invoking the ghosts of the country's dictatorial past.[8][4]",,,,,,,,,
934,Enga Kattula Mazhai,Enga Kattula Mazhai (transl. Where is the rain in the forest?) is a 2018 Indian Tamil-language romantic comedy film directed by  Sri Balaji and starring Mithun Maheswaran and Shruthi Ramakrishnan.,Sri Balaji,,C.Raja,"Mithun Maheswaran, Shruthi Ramakrishnan",,,3 August 2018,India,Tamil
935,English,This article related to a Chinese film of the 2010s is a stub. You can help Wikipedia by adding missing information.,Joan Chen,Joan Chen,Lai Pan,,,,2018,China,Mandarin
936,The Enigma of Arrival,"After many years, a group of high school friends reunites. They have not seen each other since the disappearance of Dondong, a girl they all secretly fancied. The circumstances of her disappearance cause the end of their friendship. Although a long time has passed, there are still things unspoken about what exactly happened during those crucial years.",Song Wen,"Wen Song, Zonglei Li, Richeng Tao, Lian Duan",Xie Fei,"Li Xian, Xuan Gu, Lin Xiaofan",,,"October 5, 2018(Busan)1",China,Mandarin
937,Enna Thavam Seitheno,"Enna Thavam Seitheno (transl. What penance did I do?) is a 2018 Indian Tamil rural social comedy drama film written and directed by Murabasalan. The film stars newcomer Ghajini Murugan in the male lead role alongside Vishnupriya, while R. N. R. Manohar, Delhi Ganesh, and Power Star Srinivasan played supportive roles in the film. Dev Guru scored music for the film. The film was released on 22 June 2018 and received average reviews from the audience.[1]",Murabasalan,Murabasalan,S. Senthil Kumar,"Ghajini Murugan, Vishnupriya, R. N. R. Manohar",E. J. Nauzad,Kalidass,22 June 2018,India,Tamil
938,Ente Mezhuthiri Athazhangal,"Ente Mezhuthiri Athazhangal (transl. My candle light dinners) is a 2018 Indian Malayalam-language romantic comedy film directed by Sooraj Tom. It was written by Anoop Menon who also stars in the lead role alongside Miya. The film also features an ensemble supporting cast that includes Dileesh Pothan, Lal Jose, Baiju, Alencier Ley Lopez, V. K. Prakash, Hannah Reji Koshy, Srikant Murali and Nisa NP, The songs featured in the film are composed by M. Jayachandran. Anoop Menon signed Rahul Raj to compose the background score of the movie.[2] The movie was released on 27 July 2018 to theatres and was well acclaimed.",Sooraj Tom,Anoop Menon,Noble Jose,"Anoop Menon, Miya, Dileesh Pothan, Lal Jose, Alencier Ley Lopez, Baiju, V. K. Prakash, Hannah Reji Koshy, Srikant Murali, Nisa NP",Jithu Damodar,Zian Sreekanth,27 July 2018,India,"Malayalam, [, 1, ]"
939,Ente Ummante Peru,Ente Ummante Peru (transl. My mother's name) is a 2018 Indian Malayalam-language road comedy-drama film directed by Jose Sebastian and co-written by Sebastian and Sarath R. Nath.[1] The film stars Tovino Thomas and Urvashi. The story is set in northern Kerala (Malabar region) and moves to Lucknow in the later part.[2],Jose Sebastian,,"Anto Joseph, C. R. Salim","Tovino Thomas, Urvashi",Jordi Planell Closa,Arju Benn,21 December 2018,India,Malayalam
940,Entebbe,"Entebbe[3] (titled 7 Days in Entebbe in the U.S.) is a 2018 action thriller film[2] directed by José Padilha and written by Gregory Burke. The film recounts the story of the Entebbe raid, a 1976 counter-terrorist hostage-rescue operation, and stars Rosamund Pike and Daniel Brühl.",José Padilha,Gregory Burke,"Tim Bevan, Liza Chasin, Eric Fellner, Ron Halpern, Kate Solomon, Michelle Wright","Rosamund Pike, Daniel Brühl, Eddie Marsan, Ben Schnetzer, Lior Ashkenazi, Denis Ménochet",Lula Carvalho,Daniel Rezende,"February 19, 2018(Berlinale)","United Kingdom, United States","English, (also German, French, Hebrew, and Arabic)"
