,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
696,Conni & Co,This article related to a German film of the 2010s is a stub. You can help Wikipedia by adding missing information.,Franziska Buch,Vanessa Walder,"Christian Popp, Siegfried Kamml","Emma Schweiger, Heino Ferch, Iris Berben, Ken Duken",Konstantin Kröning,Andrea Mertens,18 August 2016,Germany,German
697,A Conspiracy of Faith,"An 8-year-old message in a bottle, written in blood, leads Detective Carl Morck and his assistant Assad to a series of child abductions from religious communities throughout Denmark. The majority of these abductions have not been reported for some reason, and some of them are suspected to have ended in murder.[3]",Hans Petter Moland,Jussi Adler-Olsen,"Louise Vesth, Peter Aalbæk Jensen","Nikolaj Lie Kaas, Fares Fares, Pål Sverre Hagen, Jacob Lohmann",John Andreas Andersen,"Olivier Bugge Coutte, Nicolaj Monberg",3 March 2016(Denmark),,
698,The Constitution,"The story centers on four residents of the same apartment building whose contrasting backgrounds and beliefs keep them apart. Although they rarely interact, a series of difficult circumstances forces them into contact. Their lives entangle in ways that profoundly challenge deep-held beliefs and prejudices surrounding material status, sexual orientation, nationality and religion.[2]",Rajko Grlić,"Ante Tomić, Rajko Grlić","Ivan Maloča, Rudolf Biermann, Dejan Miloševski, Jani Sever, Mike Downey, Sam Taylor, Josefina Borecka, Maja Vukić","Nebojša Glogovac, Ksenija Marinković, Dejan Aćimović, Božidar Smiljanić, Mladen Hren",Branko Linta,Andrija Zafranović,August 2016,Croatia,"Croatian, Serbian"
699,Contemporary Color,"Contemporary Color is a 2016 documentary film directed by Turner Ross and Bill Ross IV. The film was produced as a collaboration between David Byrne, Michael Gottwald, Dan Janvey and Josh Penn.[1][2][3]","Turner Ross, Bill Ross IV",,"David Byrne, Michael Gottwald, Dan Janvey, Josh Penn",David Byrne,"Turner Ross, Bill Ross IV, Jarred Alterman",,"April 14, 2016",United States,English
700,The Contract,"The Contract (previously known as Squat) is a 2016 British crime thriller feature film directed by Nic Auerbach. The Contract is a nascent love story of two people from polar opposite worlds, thrown together by circumstance. The film stars Robert Fucilla, Sarah Armstrong, Danny Webb, Patrick Ryecart, Antonio Aakeel, and Jack Brady. The film was released on DVD and online 18 January 2016.[3]",Nic Auerbach,,"Dean Fisher, Robert Fucilla","Robert Fucilla, Sarah Armstrong, Danny Webb, [, 1, ], Patrick Ryecart, Antonio Aakeel, Isabelle Allen, Dean Bardini, Jack Brady, John Davis, Jonathan Rhodes, Surinder Duhra, Loren O'Dair, Izabella Fucilla",Franz Pagot,Kant Pan,18 January 2016(London),United Kingdom,English
701,Contract to Kill,"Contract to Kill is a 2016 American action film starring Steven Seagal. It received a limited theatrical release in the United States, and was released via video on demand.",Keoni Waxman,Keoni Waxman,"Steven Seagal, Keoni Waxman, Binh Dang",Steven Seagal,,Trevor Mirosh,"December 9, 2016",United States,English
702,Corpse Party Book of Shadows,"The film starts with a group of students from Byakudan Senior High School who just performed the ""Sachiko Ever After"" charm. Arriving in Tenjin Elementary School, Mitsuki is murdered by Sachiko Shinozaki, terrifying the other students.","Masafumi Yamada, [, ja, ]",,,"Rina Ikoma, Ryōsuke Ikeoka, Nozomi Maeda",,,"July 30, 2016",Japan,Japanese
703,The Correspondence,"The Correspondence (Italian: La corrispondenza) is an English-language Italian romantic film written and directed by Giuseppe Tornatore. It stars Jeremy Irons and Olga Kurylenko in lead roles, and was released on 14 January 2016.[2] The film score was composed by Ennio Morricone in his final score before his death in 2020.",Giuseppe Tornatore,Giuseppe Tornatore,"Isabella Cocuzza, Arturo Paglia","Jeremy Irons, Olga Kurylenko, Shauna Macdonald, Rod Glenn, Ian Cairns, Anna Savva",Fabio Zamarion,Massimo Quaglia,14 January 2016,Italy,English
704,Countdown,"Countdown (originally known as 6:42) is a 2016 American action film starring Dolph Ziggler, Katharine Isabelle and Kane. The film is directed by John Stockwell[3] and written by Richard Wenk and Michael Finch[4] and produced by WWE Studios. It was released direct-to-video and Digital HD by Lionsgate on April 5, 2016.[2]",John Stockwell,"Richard Wenk, Michael Finch",Michael J. Luisi,"Dolph Ziggler, Kane, Katharine Isabelle",Cliff Hokanson,Rick Shaine,"April 5, 2016",United States,English
705,Couple of Days,"Couple of Days is a 2016 Nigerian romantic comedy film directed by Tolu Lordtanner[1] and produced by Ayo Orunmuyi. It broke box office records upon its release, achieving the highest ticket sales in a single day for any Nollywood movie in cinemas in February 2016.[2]  The film stars Lilian Esoro, Adesua Etomi Wellington, Eyinna Nwigwe, Ademola Adedoyin, Kiki Omeili, Olayode Juliana and Falz.[3] It was released on 5 February 2016 and premiered on Netflix in 2019.[4]",Tolu Lordtanner,,Ayo Orunmuyi,"Lilian Esoro, Adesua Etomi Wellington, Eyinna Nwigwe, Ademola Adedoyin, Kiki Omeili, Olayode Juliana, Falz",,Adekunle Bryan Oyetunde,5 February 2016,"Ibadan, Oyo state, Nigeria",English
706,Crayon Shin-chan: Fast Asleep! The Great Assault on Dreamy World!,"One night, the Nohara family were enjoying a pleasant dream, when suddenly a big fish appeared in their dreams and ate them. The next morning, Hiroshi read in the newspaper that everybody in another town had the same nightmare as him, but it seemed to have ended. But Hiroshi also heard the same dream from Misae, Shinnosuke, Himawari and even Shiro. They were surprised and thought if the same thing is happening in Kasukabe too. In kindergarten, on telling others about his nightmare, Shinnosuke was surprised to learn that everyone else had the same dream.
Then a mysterious girl named Saki was transferred to Futaba Kindergarten and joined Shinnosuke's class. Everyone in the class, including the rather inactive Bo-chan, were all excited and happy on seeing her. But Saki had a cold attitude and didn't get along well.
That night, Shinnosuke and others were taken to a fantasy dreaming world (called Yumemi-World). Shinnosuke could see all the Kasukabe Defense Group members. They were riding on big balls. Whatever they wished was granted. When Masao said that he wanted to be a manga-artist, the ball grew bigger and he was transformed into a manga artist. Kazama was a TV announcer and Nene was an actress and a singer. Shinnosuke wished for chocobi and sweets which were instantly granted. Then he wished to play with young attractive girls in swimsuits and was taken to a beach-like area where he could do all sorts of enjoyment.
While the kids had good dreams, Hiroshi, Misae and other adults too had nice dreams, but their dream was soon converted into nightmares. The dreaming power of children is big while that of adults is small. Adults were losing dreaming energy faster than the children. When the dreaming power of children was consumed, they too started having nightmares. The kids became disheartened and depressed when their dreams couldn't be fulfilled completely. Masao on losing all his manga started crying.
The next day, the Kasukabe Defense Group held a meeting and decided to solve this problem of nightmares. Meanwhile, they were gradually befriending Saki. Then they asked Saki to join their group, to which she agreed. While Kazama was worrying about the cause of such nightmares, he came to realise that while everyone was having the same dream, Saki was not present. He also recalled that their dreams were being sucked and converted into nightmares. Kazama gradually started to suspect that Saki and her family are the ones who are sucking up their good dreams.
Kazama went to Saki and questioned her about this. Shinnosuke told not to accuse Saki. But Saki finally decided to reveal the truth.
Saki had lost her mother in an accident when she was small. Her mother to protect Saki had sacrificed her life. Considering her mother's death to be her fault, Saki started having nightmares fearing that her mother is having a grudge against her. Saki's father, Nubatama Yumehiko, was worried about Saki and created a psychological magical world called the Yumemi-world. To protect her from having nightmares, he absorbed all the good dreams from others and poured it into Saki's dream world so that she could have happy dreams. As a result, others' dream energy was sucked and they all started having nightmares.
Despite knowing all this, Saki said that she didn't want to upset her father and so she neither said anything to him or others.
In the Yumemi-world, Saki always had a stuffed toy baku (tapir) which ate all her nightmares. In Japanese mythology, the tapir (called ""Baku"") is a spirit that devours dreams and nightmares. Shinnosuke said that Baku must be existing somewhere and decided to find it together, but could not see it anywhere.
Meanwhile, Saki's father learned of this and worrying about Saki, he interfered in their plan. Hiroshi and Misae also learned of their plan. They said that children are pure in heart and adults shouldn't play with their feelings. They along with other adults decided to help the kids.
In the dream, a grey old female monster appeared suddenly and swallowed Saki. Saki cried for her mother. Just then, the Yumemi-world broke and everybody woke up. But Saki was still in her dreams. So Shinnnosuke and the kids again slept, this time forming a circle around Saki and went into her dream.
In Saki's dream, the monster was powerful. They fought with the monster. Shinnosuke transformed to a tapir, Nene to a crab, Kazama to an aeroplane, Bo-chan to rock and Masao used a pen as a sword, but they couldn't win. Shinnosuke being a tapir ate Saki's nightmare, but the nightmare was born again. Just then, little Saki, around the age when her mother had died, appeared and said to Saki, ""Mom died because of you. She won't forgive you. You can't escape from nightmares.""
Seeing the children sleeping in torment, Misae couldn't resist and decided to go into their dream. Misae said that ""There is no such parent who doesn't care about their children. It is the duty of every parent to protect their children during trouble. For a parent, children are more important than themselves. Even if a mother hates her child for some reason, still the child is much precious than her own self."" Misae being a mother herself fought the monster bravely and can defeat it.
Misae then embraced Saki explaining that parents never have a grudge against their children. She apologized for making her face sad and told that she is her dream and her smile is their power. Saki was able to accept her mother's death and was able to destroy the nightmare.
Then little Saki appeared again and asked if she was going to disappear. Saki said that since she was fine, little Saki can be inside her. So they two get unified into one. Seeing the nightmare getting disappeared, Kazama asked whether it was all over. Saki replied that it was still left but she is going to live better than before.
To prevent others from getting further nightmares, Saki's father along with Saki moved to overseas. Everybody resumed their normal lifestyles. Later Shinnosuke and others received an overseas letter from Saki saying that she wants to meet them in her dreams. In the Kasukabe Defense Group meeting, they decided to meet Saki in their dream world and slept together that night in excitement.",Wataru Takahashi,"Hitori Gekidan, Wataru Takahashi",,"Akiko Yajima, Miki Narahashi, Keiji Fujiwara, Satomi Korogi, Mari Mashiba, Tamao Hayashi, Teiyū Ichiryūsai, Chie Sato, Haruhi Nanao",,,"April 16, 2016(Japan)",Japan,Japanese
707,Crazy Boy,"Crazy Boy is a 2016 Kannada-language romantic drama film[1] directed by Mahesh Babu and produced by G. Chandru under Durga Parameshwari Amma Films. The film stars debutants Dilip Prakash and Ashika Ranganath in the lead roles, while P. Ravi Shankar, Rangayana Raghu and Sadhu Kokila appear in supporting roles.[2][3] The music was composed by Jassie Gift, while cinematography and editing were handled by Shekhar Chandra and K. M. Prakash.",Mahesh Babu,,G Chandru,"Dilip Prakash, Ashika Ranganath",Shekhar Chandra,K. M. Prakash,19 August 2016,India,Kannada
708,CRD,"CRD is a 2016 drama-romance Indian film by National Award Winning Director Kranti Kanade written with Yuva Sahitya Akademi Award Winning Dramatist Dharmakirti Sumant. Set in the world of College Theatre, it probes fascism and fierce competition in arts.",Kranti Kanade,"Kranti Kanade, Dharmakirti Sumant","Eesha Thaker, Shakuntala Kanade, Kranti Kanade","Mrinmayee Godbole, Vinay Sharma, Saurabh Saraswat, Abhay Mahajan, Isha Keskar, Geetika Tyagi, Mohit Takalkar",Daniel Katz,Suchitra Sathe,4 November 2016(Los Angeles),India,Hindi & English
709,The Creature Below,The film premiered at Horror Channel FrightFest on 27 August 2016.[1],Stewart Sparke,Paul Butler,"Stewart Sparke, Paul Butler","Anna Dawson, Michaela Longden, Daniel Thrace, Johnny Vivash, Zacharee Lee, Libby Wattis, David Shackleton",Cal O'Connell,Stewart Sparke,27 August 2016(Horror Channel FrightFest),United Kingdom,English
710,Creepy,"Having resigned as a profiler following an injury, Koichi Takakura and his wife Yasuko move to a place closer to his new job as a university lecturer in criminal psychology. In an effort to be friendly, Yasuko introduces herself to their two neighbors. One of them is Mrs. Tanaka and her bed-ridden mother, who coldly reject any kind of friendship with the Takakuras. Yasuko rings the doorbell at the house of their other neighbor, who lives in-between the Takakuras and Tanakas, but there is no answer. When Yasuko goes again to leave a bag of chocolates at the middle neighbor's gate, he appears and identifies himself as Masayuki Nishino. Their initial encounter gives Yasuko a creepy impression of Nishino, as he acts strangely whenever he's around her.",Kiyoshi Kurosawa,,,"Hidetoshi Nishijima, Yūko Takeuchi, Teruyuki Kagawa, Haruna Kawaguchi, Masahiro Higashide",Akiko Ashizawa,Koichi Takahashi,13 February 2016(Berlinale),Japan,Japanese
711,Criminal,"Criminal is a 2016 American action thriller film directed by Ariel Vromen and written by Douglas Cook and David Weisberg. The film is about a convict who is implanted with a dead CIA agent's memories to finish an assignment. The film stars Kevin Costner, Gary Oldman, and Tommy Lee Jones, in the second collaboration among all three following the 1991 film JFK. The film also features Gal Gadot and Antje Traue with the death of Ryan Reynolds's character, early in the film, setting the plot in motion.",Ariel Vromen,"Douglas Cook, David Weisberg","J. C. Spink, Jake Weiner, Mark Gill, Matt O'Toole, Christa Campbell","Kevin Costner, Gary Oldman, Tommy Lee Jones, Alice Eve, Gal Gadot, Michael Pitt, Jordi Mollà, Antje Traue, Scott Adkins, Amaury Nolasco",Dana Gonzales,Danny Rafic,"April 15, 2016(United States)",United States,English
712,Crosscurrent,Crosscurrent (Chinese: Chang Jiang Tu) is a 2016 Chinese drama film directed by Yang Chao.[3] It was selected to compete for the Golden Bear at the 66th Berlin International Film Festival.[4] At Berlin Mark Lee Ping-Bing won the Silver Bear for Outstanding Artistic Contribution for Cinematography.[5],Yang Chao,Yang Chao,"Wang Yu, Yang Jing, Ha Bo, [, 1, ]","Qin Hao, Xin Zhilei",Mark Lee Ping-Bing,"Yang Mingming, Kong Jinlei, [, 2, ]",15 February 2016(Berlinale),China,Mandarin
713,"Crouching Tiger, Hidden Dragon: Sword of Destiny","Crouching Tiger, Hidden Dragon: Sword of Destiny (Chinese: 卧虎藏龙：青冥宝剑) is a 2016 wuxia film directed by Yuen Woo-ping and written by John Fusco, based on the novel Iron Knight, Silver Vase by Wang Dulu. It is also a sequel to the 2000 film Crouching Tiger, Hidden Dragon. The film stars Donnie Yen, Michelle Yeoh, Harry Shum Jr., Natasha Liu Bordizzo, Jason Scott Lee and Eugenia Yuan. The film was released in Hong Kong on February 18, in mainland China on February 19 and worldwide on Netflix outside China on February 26, 2016.",Yuen Woo-ping,,"Charlie Nguyen, Harvey Weinstein","Donnie Yen, Michelle Yeoh",Newton Thomas Sigel,Jeff Betancourt,"February 18, 2016(Hong Kong)","United States, China",English
714,The Crucifixion,"The Crucifixion is a 2017 horror film directed by Xavier Gens, written by Chad Hayes and Carey W. Hayes and starring Sophie Cookson, Brittany Ashworth and Corneliu Ulici. It is based on the Tanacu exorcism that took place in Vaslui County, Romania, in 2005.[1][2]",Xavier Gens,"Chad Hayes, Carey W. Hayes","Leon Clarance, Peter Safran","Sophie Cookson, Brittany Ashworth, Corneliu Ulici",Daniel Aranyó,Adam Trotman,"October 6, 2017","United States, United Kingdom, Romania",English
715,Cruel Summer,"Cruel Summer is a 2016 British horror drama film written and directed by Phillip Escott and Craig Newman in their directorial debuts. It stars Danny Miller, Reece Douglas, Natalie Martins and Richard Pawulski. It premiered at FrightFest on August 27, 2016, and was released in the United States by Wild Eye Releasing on February 27, 2018.","Phillip Escott, Craig Newman","Phillip Escott, Craig Newman","Phillip Escott, Craig Newman, Sean Langton","Danny Miller, Reece Douglas, Natalie Martins, Richard Pawulski",Lucas Tucknott,Phillip Escott,"August 27, 2016(London)",United Kingdom,English
716,Cruelty,Cruelty (Icelandic: Grimmd) is a 2016 Icelandic film written and directed by Anton Sigurðsson.[1][2][3][4][5],Anton Sigurðsson,,"Anton Sigurðsson, Erlingur Jack Guðmundsson, Haraldur Bender, Arnar Benjamín Kristjánsson","Margrét Vilhjálmsdóttir, Sveinn Ólafur Gunnarsson",Árni Filippusson,Árni Freyr Haraldsson,21 October 2016(Iceland),Iceland,Icelandic
717,Crying Out in Love,"In 2008, Xia Ye receives a mysterious package from the Post Office of the Future, which contains audio cassettes from the late 1990s and an old cassette player. She listens to them on the train to Qingdao and hears the voice of the 17-year-old Ke Da. Back in the hot summer of 1997, Ke Da had fallen for Xia Ye during their senior year at high school, and the two had expressed their feelings to each other via audio cassettes. Li Fusheng, a guy who Ke Da met at swimming classes, runs the Post Office for the future, accepting messages for the living or the dead to be delivered sometime in the future. He believed that the dead live on at the Centre of the World, where they meet because of love.",Kwak Jae-yong,"Kwak Jae-yong, Zhou Zhan, Peng Xiaojiao, Cao Jinling","Chen Shuang, Lin Zhenghao","Oho Ou, Zhang Huiwen, Yang Zi",,,26 August 2016,China,Mandarin
718,A Cure for Wellness,"A Cure for Wellness is a 2016 psychological horror film directed by Gore Verbinski and written by Justin Haythe. Haythe and Verbinski were inspired by Thomas Mann's 1924 novel The Magic Mountain while coming up with the idea for the film.[3] Starring Dane DeHaan, Jason Isaacs, and Mia Goth, the plot follows a young executive who is sent to retrieve his company's CEO from a mysterious rehabilitation center in the Swiss Alps.",Gore Verbinski,,"Arnon Milchan, Gore Verbinski, David Crockett","Dane DeHaan, Jason Isaacs, Mia Goth, Harry Groener, Celia Imrie, Adrian Schiller",Bojan Bazelli,"Lance Pereira, Pete Beaudreau","December 10, 2016(Alamo Drafthouse)","United States, Germany, Luxembourg",English
719,"Curiosity, Adventure & Love","Curiosity, Adventure & Love is a 2016 Philippine documentary film produced and directed by Sunshine Lichauco de Leon and Suzanne Richiardone which centers around a 105-year-old Jessie Lichauco Cuban-born American who migrated to the Philippines in the 1930s as well as the migrant's insights on Philippine history.","Sunshine Lichauco de Leon, Suzanne Richiardone","Justin Weinrich, Sunshine Lichauco de Leon","Sunshine Lichauco de Leon, Suzanne Richiardone",Jessie Lichauco,Arturo Prins,Justin Weinrich,"July 2, 2016",Philippines,English
720,Curmudgeons,The film was nominated for the Best Narrative Short award in the Tribeca Film Festival. It was also selected as Vimeo's first official Staff Pick.[1],Danny DeVito,,"Danny DeVito, Lucy DeVito, Jake DeVito, Joshua Conkel (co-producer)","David Margulies, Danny DeVito, Lucy DeVito, Sarah Nina Hayon, Kett Turton",Łukasz Bielan,Brett Haley,"April 15, 2016(Tribeca)",United States,English
721,The Curse of Robert the Doll,"Emily Barker starts her new job as a night cleaner at the East Falls Museum, where the infamous Robert the Doll is on display. Almost immediately, she experiences eerie occurrences, objects moving, whispers in empty rooms, and cold drafts, signs that Robert’s evil presence is still alive.",Andrew Jones,Andrew Jones,"Lee Bane, Andrew Jones","Jason Homewood, Nigel Barber, Chris Bell, Lee Bane",Jonathan McLaughlin,Andrew Jones,12 September 2016(United Kingdom),United Kingdom,English
722,The Curse of Sleeping Beauty,"The Curse of Sleeping Beauty is a 2016 American fantasy horror film directed by Pearry Reginald Teo and written by Teo alongside Josh Nadler. The film stars Ethan Peck, India Eisley and Natalie Hall. It is based on a comic book of the same name by Everette Hartsoe and the story Little Briar Rose by the Brothers Grimm and Charles Perrault.",Pearry Reginald Teo,,"Ehud Bleiberg, Pearry Reginald Teo","Ethan Peck, Natalie Hall, India Eisley, James Adam Lim, Bruce Davison",Christopher C. Pearson,Damian Drago,"May 13, 2016",United States,English
723,Custody,"Custody is a 2016 American courtroom drama film directed and written by James Lapine. The film stars Viola Davis as a judge who presides over the custody case of a Latina woman named Sara (Catalina Sandino Moreno) whose children are taken away after an episode of domestic violence.[1] Hayden Panettiere plays the lawyer given Sara's case,[2] with Ellen Burstyn, Selenis Leyva, Olga Merediz, Dan Fogler, Raúl Esparza, and Tony Shalhoub in other roles. Custody was filmed in New York City in May 2015.[3]",James Lapine,James Lapine,"James Lapine, Katie Mustard, Lauren Versel","Viola Davis, Catalina Sandino Moreno, Hayden Panettiere, Ellen Burstyn",Zak Mulligan,Miky Wolf,"April 17, 2016(Tribeca Film Festival)",United States,English
724,Cutie Honey: Tears,"In the near future, abnormal weather conditions and the spread of a virus has caused man's population to decrease. Artificial intelligence originally built to help and preserve what was left of humanity by controlling the world's work and economy. In this bleak future, the rich and powerful dominate the world and live above the poor. The poor are suffering on the polluted streets with toxic rain pouring down upon them that is caused by the frivolous activities of the wealthy.",Asai Takeshi,,,Mariya Nishiuchi,,,"October 1, 2016",Japan,Japanese
725,The Cyclotron,"The film stars Lucille Fluet as Simone, an Allied spy in World War II who is trying to prevent German military officer König (Paul Ahmarani) from obtaining the technology that would enable the Germans to build an atomic bomb.[2]",Olivier Asselin,"Olivier Asselin, Lucille Fluet",Christine Falco,"Lucille Fluet, Paul Ahmarani, Mark Antony Krupa",Mathieu Laverdière,Michel Grou,"October 16, 2016(FNCM)",Canada,French
726,Dabak Daba Aisa,"Dabak Daba Aisa[1] is a 2016 Indian Tulu language comedy film written and directed by Prakash Pandeshwar, Starring Devadas Kapikad, Naveen D. Padil, Bhojaraj Vamanjoor in lead roles. The movie has been produced by Prakash Pandeshwar under the banner of Jayakirana Films.[2]",Prakash Pandeshwar,,Prakash Pandeshwar,"Devadas Kapikad, Naveen D. Padil, Bhojaraj Vamanjoor",Utpal V Nayanar,,5 August 2016,India,Tulu
727,Dad's Army,"Dad's Army is a 2016 British war comedy film, based on the BBC television sitcom Dad's Army. It is directed by Oliver Parker and set in 1944, after the events depicted in the television series. Catherine Zeta-Jones plays an elegant German spy, posing as a journalist, reporting on the Walmington-on-Sea Home Guard platoon.",Oliver Parker,Hamish McColl,Damian Jones,"Bill Nighy, Catherine Zeta-Jones, Toby Jones, Tom Courtenay, Michael Gambon, Blake Harrison, Daniel Mays, Bill Paterson",Christopher Ross,Guy Bensley,5 February 2016(United Kingdom),United Kingdom,English
728,Dadyaa,"Dadyaa (sometimes known as Dadyaa: The Woodpeckers of Rotha)  is a 2016[1] Nepalese Drama short film, directed and written by Pooja Gurung and Bibhusan Basnet. Released under the banner of Eye Core Films. The film stars Devi Damai and Parimal Damai in the lead roles. The film released on 1 September 2016 in Nepal.[2][3][4]","Pooja Gurung, Bibhusan Basnet","Bibhusan Basnet, Pooja Gurung","Marie Legrand, Rani Massalha, Prajjwal S.J.B. Rana","Devi Damai, Parimal Damai",,Chandra-Bindu,1 September 2016(Nepal),Nepal,Nepali
729,Daffedar,"Daffedar is a 2016 Indian Malayalam-language drama film directed by Johnson Esthappan, starring Tini Tom as Daffadar and Malavika Nair in lead roles.[2] Ilaiyaraaja is the music director and the film's audio was launched by Kerala chief minister Pinarayi Vijayan.[3]",Johnson Esthappan,Johnson Esthappan,"Gickson Thekkumthala, Ginu Mathew George","Tini Tom, [, 1, ], Malavika Nair, Sudheer Karamana, Chembil Ashokan, Indrans, Kavitha Nair, Jayakrishnan",Sudheer K. Sudhakaran,Mentos Antony,21 October 2016,India,Malayalam
730,Dagsin,Dagsin is a 2016 Filipino drama film directed by Atom Magadia. It was shortlisted as a potential entry by the Philippines for the Best International Feature Film at the 92nd Academy Awards.[1],Atom Magadia,,"Atom Magadia, Anne Prado-Magadia, Ferdinand Lapuz","Tommy Abuel, Lotlot DeLeon, Benjamin Alves, Janine Guttierez",Dexter Dela Peña,Jay Ramirez,6 August 2016(Cínemalayà: Philippine Independent Film Festival),Philippines,"Filipino, Tagalog"
731,Daguerrotype,"Daguerrotype (also known as The Woman in the Silver Plate;[1] Japanese: ダゲレオタイプの女; French: Le Secret de la chambre noire[2] or La Femme de la plaque argentique)[3] is a 2016 French-Japanese romantic horror film written and directed by Kiyoshi Kurosawa.[4] It stars Tahar Rahim, Constance Rousseau, Olivier Gourmet, Mathieu Amalric, and Malik Zidi.[5]",Kiyoshi Kurosawa,Kiyoshi Kurosawa,,"Tahar Rahim, Constance Rousseau, Olivier Gourmet, Mathieu Amalric, Malik Zidi",Alexis Kavyrchine,Veronique Lange,11 September 2016(TIFF),"France, Japan, Belgium",French
732,Dalida,"In 1967 Dalida goes to a hotel and unsuccessfully attempts suicide. Rushing to her side during recovery are her ex-husband Lucien Morisse, her ex-lover Jean Sobieski and her brother Orlando (born Bruno). The three men explain different facets of Dalida's personality: Dalida grew up a passionate music lover thanks to her violinist father in Cairo but always felt herself to be ugly because of the large glasses she wore. She was discovered in Paris by Lucien Morisse, a Parisian radio programmer who eventually fell for her and left his wife for her. Dalida became disillusioned with Morisse when he put off marriage and a child to focus on building her career. Nevertheless, she married him, but quickly began an affair with artist Jean Sobieski. She eventually left Sobieski as well, to have an affair with Luigi Tenco, a temperamental musician. Luigi commits suicide after having a breakdown and walking off stage at the 1967 Sanremo Music Festival. Dalida finds his body and it is this her friends and family believe has contributed to her mental breakdown and suicide attempt.",Lisa Azuelos,"Lisa Azuelos, Orlando, (collaboration)","Julien Madon, Lisa Azuelos, Jérôme Seydoux","Sveva Alviti, Riccardo Scamarcio, Jean-Paul Rouve, Nicolas Duvauchelle",Antoine Sanier,Thomas Fernandez,30 November 2016(Paris premiere),France,"French, Italian, English, Arabic, German"
733,Damage,"Damage is a 2016 Ugandan drama film created, written, and directed by Denis Dhikusooka Jr.[1] The film was produced by PEARL Wonders Entertainment and features Doreen Rwatooro and Rodney Dhikusooka in the leading roles.[1] The film explores themes of love, betrayal, and consequences through the story of Martin, a Makerere University student who develops a reputation for manipulating relationships with women until he encounters genuine love that changes his perspective.[1]",Denis Dhikusooka Jr.,,Denis Dhikusooka Jr.,"Doreen Rwatooro, Rodney Dhikusooka, Sophia Kemigisha, Samuel Kynes Dhikusooka",,,7 December 2016,Uganda,English
734,"Damilola, Our Loved Boy","Damilola, Our Loved Boy is a British television film about the events surrounding the 27 November 2000 death of Damilola Taylor.[2] The film aired on BBC One on 7 November 2016, and was written by Levi David Addai, directed by Euros Lyn, and starred Babou Ceesay and Wunmi Mosaku.[1] The film received three nominations at the 2017 British Academy Television Awards, winning Best Single Drama and Best Supporting Actress for Mosaku.[3]",,,,,,,,,
735,Dan and Phil Go Outside,"The Amazing Tour Is Not on Fire, also known as TATINOF, is a quasi-fictional theatrical stage show and the first tour by YouTubers Dan and Phil (Dan Howell and Phil Lester). It was performed as a companion to The Amazing Book Is Not on Fire (TABINOF).",,,,,,,,,
736,Dana Kayonu,Dana Kayonu (transl. Cowherd) is a 2016 Indian Kannada romantic comedy film directed and written by Yogaraj Bhat. The film stars Duniya Vijay and Priyamani. The film's music is scored by V. Harikrishna and the cinematography is by Sugnan. The film was released on 7 October 2016 clashing with Prakash Raj's directorial Idolle Ramayana which also featured Priyamani in the lead role.,Yogaraj Bhat,,"Kanakapura Srinivas, Srikanth","Duniya Vijay, Priyamani",Sugnaan,Deepu S. Kumar,7 October 2016,India,Kannada
737,Dance Camp,"The plot is about Hunter (Nadji Jeter) who is sent to a dance camp, where he meets a bunch of eclectic misfits. He is eventually inspired to take down a rival dance group led by Lance (Jake Paul) and along the way also falls in love with Cheyenne (Meg DeAngelis).[5][6]",Bert & Bertie,,"Jon M. Chu, Hieu Ho, Matt Kaplan, Brian Robbins",,Alice Brooks,Jane Moran,"February 10, 2016(YouTube Red)",United States,English
738,Dance Kahani,"Dance Kahani (meaning dance story; previously The Dance Diaries) is a 2016 Pakistan's first dance film directed and written by Omar Hassan.[1][2][3] Dance Kahani is produced by OSCO FILMS, 99 FILMS and Ion Entertainment in association with Act One. The film stars Madeleine Hanna, Alamdar Khan and Vernin U'chong.[4] Dance Kahani is the first film exploring the underground dance culture and free running on the streets of Karachi.",Omar Hassan,Omar Hassan,Zahir Ali and Omar Hassan,"Madeleine Hanna, Alamdar Khan, Vernin U'chong",Asrad Khan,Ahmed Ali,5 August 2016(Pakistan),Pakistan,"Urdu, ,, English"
739,Dancer,Sergei Polunin is a breathtaking ballet talent who questions his existence and his commitment to dance just as he is about to become a legend.,Steven Cantor,,Gabrielle Tana,Sergei Polunin,Mark Wolf,Federico Rosenzvit,2016,,
740,The Dancer,"The Dancer (French: La Danseuse) is a 2016 biographical historical drama film about dancer Loie Fuller, directed by Stéphanie Di Giusto from a screenplay she co-wrote with Sarah Thiebaud and Thomas Bidegain, based on the novel Loïe Fuller: Danseuse de la Belle Époque by Giovanni Lista. The film stars Soko, Gaspard Ulliel, Mélanie Thierry, Lily-Rose Depp, François Damiens, Louis-Do de Lencquesaing and Denis Ménochet. The film is a co-production between France, Belgium and Czech Republic.",Stéphanie Di Giusto,,"Alain Attal, Emma Javaux, Marie Jardillier","Soko, Gaspard Ulliel, Mélanie Thierry, Lily-Rose Depp, François Damiens, Louis-Do de Lencquesaing, Amanda Plummer, Tamzin Merchant, Will Houston, Denis Ménochet",Benoît Debie,Géraldine Mangenot,13 May 2016(Cannes),"France, [, 1, ], Belgium, [, 1, ], Czech Republic, [, 1, ]","French, [, 3, ], English, [, 3, ], [, 4, ]"
