,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
214,Echoes of Omusati – A Forgotten Heritage,"The documentary tells the story of a Zambian-born woman whose search for her father leads her to the Omusati region, years after the realities of the liberation struggle sent many Namibians into exile. The documentary reflects themes of sacrifice, resilience, reconciliation, and the enduring impact of Namibia’s journey to freedom.[3] The documentary film presents the historical aspects of Omusati’s region tribes, including the Aambalantu, Aakwaluudhi, AaNgandjera and AaKwambi, as well as the legacy of traditional kingdoms and leadership structures[2].",Oshoveli Shipoh,Morna Ikosa,Morna Ikosa,,,,27 March 2026(Windhoek),Namibia,
215,The Education of Jane Cumming,"The Education of Jane Cumming is a 2026 period drama film directed by Sophie Heldman, co-written by Heldman and Flora Nicholson and Sophie Heldman and based on the book Scotch Verdict by Lillian Faderman. It stars Nicholson, Clare Dunne, Mia Tharia, Fiona Shaw, and Sadie Shimmin.",Sophie Heldman,,"Nadira Murray, Bettina Brokemper, Karin Koch","Flora Nicholson, Clare Dunne, Mia Tharia, Fiona Shaw, Sadie Shimmin",Kate Reid,Isabel Meier,15 February 2026(Berlinale),"United Kingdom, Germany, Switzerland",English
216,Ek Din,"Ek Din (transl. One Day) is an upcoming Indian Hindi-language romantic drama film directed by Sunil Pandey and produced by Mansoor Khan, Aamir Khan, and Aparna Purohit under Aamir Khan Productions. The film stars Sai Pallavi (in her Hindi film debut) and Junaid Khan in lead roles. It is a remake of the 2016 Thai film One Day.",Sunil Pandey,"Sneha Desai, Spandan Desai","Mansoor Khan, Aamir Khan, Aparna Purohit","Sai Pallavi, Junaid Khan",Manoj Lobo,Ballu Saluja,1 May 2026,India,Hindi
217,Ek Mutthi Badal,"Set during the wedding season in a small Nepali town, Ek Mutthi Badal: My Share of Sky depicts the story of a young middle-class woman struggling to reconcile societal expectations with her desire for freedom. The film delves into themes of belonging, sacrifice, and the unspoken roles women play in building homes, yet never truly belong to them.[5]
Positioned as a family drama, the film explores emotional tensions within a Nepali household spanning three generations. Set over the course of a single day, the story follows family members as they navigate expectations, sacrifice and personal aspirations against the backdrop of a rapidly changing Nepali society.[6]",Sahara Sharma,Sahara Sharma,Abhimanyu Dixit,"Aanchal Sharma, Sahayog Adhikari, Nisha Sharma, Sekhar Chapagain, Usha Rajak, Manish Niraula, Asmita Gautam, Gaurav Bista",Linh Dan Nguyen Phan,,"May 15, 2026(Nepal)","Nepal, ,, Germany",Nepali
218,Ekhane Rajnoitik Alaap Joruri,"Ekhane Rajnoitik Alaap Joruri is a 2026 Bangladeshi film in the Bengali-language. Its story and screenplay were written by Khalid Mahbub Turjo and Motashim Billah Aditto and directed by Ahmed Hasan Sunny. It stars Imtiaz Barshon, Azad Abul Kalam, A. K. Azad Setu, Keya Al Jannah and Tanvir Apurba in the lead roles. The film is set against the backdrop of the July 2024 student uprising, it also highlights the political and social history of Bangladesh at various times.[1][2][3]",Ahmed Hasan Sunny,,Khalid Mahbub Turjo,"Imtiaz Barshon, Azad Abul Kalam, A. K. Azad Setu, Keya Al Jannah, Tanvir Apurba",Abu Raihan,Imamul Baker Apolo,16 January 2026,Bangladesh,Bengali
219,Elae Airy in Busan,"The production team spent approximately two years filming, with several locations in Busan, South Korea, depicting the lives of Thai workers abroad.[3]",Sompong Kunaprathom,,,"Il Hong-min, Atcharee Srisuk, Arthit Somnoi, Sitthidet Bammanee, Petchtai Wongkamlao, Akaradet Yodchampa, Kwannapa Ruangsri, Duangruedee Boonbumrung, Praepetch Udomsartporn",,,"March 26, 2026(Thailand)",Thailand,"Isan, ,, Thai"
220,The Electric Kiss,"The Electric Kiss (French: La Vénus électrique, lit. 'The Electric Venus') is an upcoming 2026 period romantic comedy-drama film directed by Pierre Salvadori, from a screenplay he co-wrote with Benjamin Charbit and Benoît Graffin and based on an original idea by Rebecca Zlotowski and Robin Campillo. It stars Pio Marmaï, Anaïs Demoustier, Gilles Lellouche, and Vimala Pons. The plot follows a young grieving painter who tries to contact his dead wife through a psychic after losing his inspiration to work.[1]",Pierre Salvadori,,Philippe Martin,"Pio Marmaï, Anaïs Demoustier, Gilles Lellouche, Vimala Pons",Julien Poupard,Anne-Sophie Bion,12 May 2026(Cannes),"France, Belgium",French
221,Elephants in the Fog,"The film will have its world premiere at the Un Certain Regard section of the 2026 Cannes Film Festival in May 2026, where it is also nominated for the Caméra d'Or.",Abinash Bikram Shah,Abinash Bikram Shah,"Anup Poudel, Justin Pechberty, Michael Henrichs","Pushpa Thing Lama, Deepika Yadav, Jasmine Bishwokarma, Aliz Ghimire",Noé Bach,Andrew Bird,May 2026(Cannes),"Nepal, France, Germany, Brazil, Norway",Nepali
222,Ella Arcangel: Awit ng Pangil at Kuko,"Ella Arcangel: Awit ng Pangil at Kuko, also known as Ella Arcangel: Ballad of Tooth and Claw in English, is an upcoming Philippine adult animated urban fantasy supernatural horror film based on the 2017 komik Ella Arcangel by Julius Villanueva. The film revolves a young mambabarang named Ella, who has a supernatural abilities with dark magic to fight both humans and mythical monsters in the city to protect her community.",Mervin Malonzo,"Mervin Malonzo, Julius Villanueva","Manny Angeles, Avid Liongoren",,,,2026,Philippines,Filipino
223,Emperor vs Sarat Chandra,"Emperor vs Sarat Chandra is an upcoming Bengali-language epic historical drama film written and directed by Srijit Mukherji.[1] Produced by Pradip Kumar Nandy under the banner of Nandy Movies, it is scheduled for release on 1 May 2026.[2] It is based on Pather Dabi, a 1926 novel (novella) written by Sarat Chandra Chattopadhyay.[3]",Srijit Mukherji,,Pradip Kumar Nandy (Nandy Movies),"Mimi Chakraborty, Abir Chatterjee, Tota Roy Choudhury",,,1 May 2026,India,Bengali
224,The End of It,"The End of It is an upcoming British science fiction film written and directed by Maria Martínez Bayona, in her feature debut. It stars Rebecca Hall, Noomi Rapace, Gael GarcÍa Bernal  and Beanie Feldstein.",Maria Martínez Bayona,,"Emilie Jouffroy, Kamille Kristiane Hodøl, Adrià Monés Murlans","Rebecca Hall, Noomi Rapace, Gael Garcia Bernal, Beanie Feldstein",Andres Arochi,Tania Reddin,May 2026(Cannes),"United Kingdom, Spain",English
225,The End of Oak Street,"The End of Oak Street is an upcoming American science fiction survival film written, co-produced, and directed by David Robert Mitchell. It stars Anne Hathaway, Ewan McGregor, Maisy Stella, and Christian Convery. It follows a family who starts to notice unusual happenings in their neighborhood.",David Robert Mitchell,David Robert Mitchell,"J. J. Abrams, Hannah Minghella, David Robert Mitchell, Matt Jackson, Tommy Harper","Anne Hathaway, Ewan McGregor, Maisy Stella, Christian Convery",Michael Gioulakis,John Axelrad,"August 14, 2026",United States,English
226,Enola Holmes 3,"Enola Holmes 3 is an upcoming mystery film and the sequel to the 2022 film Enola Holmes 2, which stars Millie Bobby Brown reprising her role as the title character, the teenage sister of the already-famous Victorian-era detective Sherlock Holmes with Louis Partridge, Himesh Patel, Sharon Duncan-Brewster, Henry Cavill, and Helena Bonham Carter appearing in supporting roles. The film is directed by Philip Barantini, making this the first film in the series not directed by Harry Bradbeer, and written by Jack Thorne, that adapts the book series The Enola Holmes Mysteries by Nancy Springer.",Philip Barantini,,"Mary Parent, Alex Garcia, Ali Mendes, Millie Bobby Brown","Millie Bobby Brown, Louis Partridge, Himesh Patel, Sharon Duncan-Brewster, Henry Cavill, Helena Bonham Carter",Matthew Lewis,,"July 1, 2026","United Kingdom, United States",English
227,Ephemera,Ephemera is an upcoming independent romantic drama film written and directed by Shan Jiang. It stars Yvonne Shuyu Zhang and Shu-Yi.,Shan Jiang,Shan Jiang,"Shan Jiang, Yinx Zhou, Sol Ye","Yvonne Shuyu Zhang, Shu-Yi",Feixue Tang,"Shan Jiang, Hazel McKibbin","June 7, 2026(Tribeca Festival)","United States, Singapore","English, Mandarin, Chinese"
228,Ernie & Emma,"The film follows Ernie Tyler, a widowed pear salesman who sets out on a journey to scatter his late wife Emma's ashes in locations she specified before her death. Along the way, Ernie reflects on their life together and confronts his grief, ultimately finding a renewed sense of purpose.",Bruce Campbell,Bruce Campbell,"Bruce Campbell, Ida Gearon","Bruce Campbell, Cerina Vincent, Robin McAlpine, Ted Raimi",,,"February 14, 2026(Medford, Oregon)",United States,English
229,Euphoria,"Euphoria is a 2026 Indian Telugu-language social drama film written and directed by Gunasekhar.[1] The film features Bhumika Chawla, Sara Arjun and Vignesh Gavireddy in lead roles, while Gautham Vasudev Menon and Nassar play supporting roles.[2] The music was composed by Kaala Bhairava with cinematography by Praveen K Pothan and editing by Prawin Pudi. The film was released on 6 February 2026.[3]",Gunasekhar,Gunasekhar,"Neelima Guna, Yuktha Guna","Bhumika Chawla, Sara Arjun, Vignesh Gavireddy",Praveen K Pothan,Prawin Pudi,6 February 2026,India,Telugu
230,Everybody Digs Bill Evans,"Everybody Digs Bill Evans is a 2026 biographical drama film directed by Grant Gee, written by Mark O’Halloran and based on the novel Intermission by Owen Martell. It follows the legendary musician Bill Evans (Anders Danielsen Lie). It also stars Bill Pullman, Barry Ward, Laurie Metcalf, Valene Kane and Katie McGrath.",Grant Gee,,"Janine Marmot, Alan Maher","Anders Danielsen Lie, Bill Pullman, Barry Ward, Laurie Metcalf, Valene Kane, Katie McGrath",Piers McGrail,Adam Biskupski,13 February 2026(Berlinale),"United Kingdom, Ireland",English
231,Everybody Loves Sohrab Handa,"Raman and Jayanti host an outstation party at a secluded mansion in Himachal Pradesh to celebrate their 10th wedding anniversary. Among the guests is Raman's business partner, Sohrab Handa, an abrasive and foul-mouthed man who spends the evening insulting and belittling the other attendees.",Rajat Kapoor,Rajat Kapoor,"Sameer Nair, Deepak Segal, Rajat Kapoor","Vinay Pathak, Ranvir Shorey, Waluscha De Sousa, Saurabh Shukla, Koel Purie, Sadia Siddiqui, Chandrachoor Rai",Rafey Mahmood,,10 April 2026,India,Hindi
232,Everybody to Kenmure Street,"Everybody to Kenmure Street is a 2026 documentary film directed by Felipe Bustos Sierra that chronicles the Kenmure Street protests, the community resistance to a Home Office immigration raid in Glasgow's Pollokshields neighbourhood in 2021.",Felipe Bustos Sierra,,"Ciara Barry, Felipe Bustos Sierra",,Kirstin McMahon,Colin Monie,"January 22, 2026(Sundance)1",Scotland,English
233,Everyone's Sorry Nowadays,"Everyone's Sorry Nowadays (Dutch: Tegenwoordig heet iedereen Sorry) is a 2026 drama film written and directed by Frederike Migom. The film adapted from Bart Moeyaert’s novel of the same name, is a gentle story of finding your place and following your dreams.[1]",Frederike Migom,Frederike Migom,Ivy Vanhaecke,"Lisa Vanhemelrijck, Laurence Roothooft, Sachli Gholamalizad, Lewis Hannes, Lewis Gérard",Esmoreit Lutters,Christine Houbiers,14 February 2026(Berlinale),"Belgium, Germany, Netherlands",Dutch
234,Everytime,The film will have its world premiere at the Un Certain Regard section of the 2026 Cannes Film Festival in May 2026.,Sandra Wollner,Sandra Wollner,"Lixi Frank, Viktoria Stolpe, David Bohun, Sandra Wollner","Birgit Minichmayr, Tristán López, Lotte Shirin Keiling, Carla Hüttermann",Gregory Oke,Hannes Bruun,May 2026(Cannes),"Austria, Germany","German, Spanish"
235,Evil Dead Burn,"Evil Dead Burn is an upcoming American supernatural horror film serving as the third standalone entry, after Evil Dead (2013) and Evil Dead Rise (2023), and the sixth installment in the Evil Dead film series. Directed and co-written by Sébastien Vaniček, and produced by Rob Tapert and series creator Sam Raimi, it stars Souheila Yacoub.",Sébastien Vaniček,,"Rob Tapert, Sam Raimi","Souheila Yacoub, Tandi Wright, Hunter Doohan, Luciane Buchanan, Erroll Shand, Maude Davey, George Pullar",Philip Lozano,,"July 8, 2026(France and Italy)",United States,English
236,Evil Dress,Evil Dress (Spanish: El vestido)[1] is a 2026 Spanish supernatural horror film directed by Jacob Santana. It stars Belén Rueda and Vera Centenera.,Jacob Santana,,"Frank Ariza, Manu Vega, Carmen Aguado","Belén Rueda, Vera Centenera",Christos Voudouris,"Pablo Gómez Pan, Iván de Paz",13 February 2026,Spain,Spanish
237,Expelled from Paradise,"Expelled from Paradise (Japanese: 楽園追放, Hepburn: Rakuen Tsuihō) is a 2014 Japanese anime science fiction film. The film is directed by Seiji Mizushima, with a screenplay written by Gen Urobuchi. The film was produced by Toei Animation and animated by Graphinica, and was distributed by T-Joy.[2]",Seiji Mizushima,,Kouichi Noguchi,"Rie Kugimiya, Shin-ichiro Miki, Hiroshi Kamiya, Megumi Hayashibara, Minami Takayama, Kotono Mitsuishi, Kenta Miyake, Daichi Otomo, Hisao Egawa, Noriko Uemura, Tōru Furuya",Koujirou Hayashi,Masato Yoshitake,"November 15, 2014(Japan)",Japan,Japanese
238,Extra Geography,Extra Geography is a 2026 British drama film written by Miriam Battye and adapted from the 2007 short story of the same name by Rose Tremain. It is directed by Molly Manners with a cast led by Marni Duggan and Galaxie Clear as two best friends at a British boarding school.,Molly Manners,,Sarah Brocklehurst,"Marni Duggan, Galaxie Clear, Alice Englert, Aoife Riddell",,,2026,United Kingdom,English
239,Faces of Death,"Faces of Death is a 2026 American horror film and reimagining[5] of the 1978 film. Directed by Daniel Goldhaber and co-written with Isa Mazzei, it stars Barbie Ferreira, Dacre Montgomery, Josie Totah, Aaron Holliday, Jermaine Fowler, and Charli XCX. Filming was completed in May 2023.",Daniel Goldhaber,"Isa Mazzei, Daniel Goldhaber","Don Murphy, Susan Montford, Greg Gilreath, Adam Hendricks","Barbie Ferreira, Dacre Montgomery, Josie Totah, Aaron Holliday, Jermaine Fowler, Charli XCX",Isaac Bauman,Taylor Levy,"April 5, 2026(Beyond Fest)",United States,English
240,Fall 2,Fall 2 is an upcoming American survival thriller film directed by Peter and Michael Spierig from a screenplay by Scott Mann and Jonathan Frank. It serves as a sequel to Fall (2022).,Peter & Michael Spierig,"Scott Mann, Jonathan Frank","Scott Mann, Christian Mercuri, James Harris, Mark Lane, David Haring","Harriet Slater, Arsema Thomas, Tom Brittney",,,"August 7, 2026",United States,English
241,The Fall of Sir Douglas Weatherford,"The Fall of Sir Douglas Weatherford is a 2026 British dark comedy film directed by Seán Dunn. It stars Peter Mullan, Gayle Rankin, Jakob Oftebro, Sid Sagar, and Lewis MacDougall.  The film explores themes of ageing, identity, and the blurred boundary between history and fantasy.[1]",Seán Dunn,Seán Dunn,"Alex Polunin, Scott Macaulay, Jennifer Monks","Peter Mullan, Gayle Rankin, Jakob Oftebro, Sid Sagar, Lewis MacDougall",David Gallego,Shakti Bhagchandani,30 January 2026(IFFR),United Kingdom,English
242,Family Movie,Family Movie is a 2026 American comedy horror film directed by Kyra Sedgwick and Kevin Bacon and written by Dan Beers.,"Kyra Sedgwick, Kevin Bacon",,"Kevin Bacon, Kyra Sedgwick, Sosie Bacon, Travis Bacon, Vince Jolivette, Casey Durant, Greg Lauritano, Russell Wayne Groves, Benjamin Fuqua, John Lang","Kevin Bacon, Kyra Sedgwick, Sosie Bacon, Travis Bacon, Liza Koshy, John Carroll Lynch, Jackie Earle Haley, Andrea Savage, Austin Amelio, Scoot McNairy",Mac Fisken,Bryan Gaynor,"March 13, 2026(SXSW)",United States,English
243,Father,"Father  (Sinhala: ෆාදර්) is a 2026 Sri Lankan Sinhala gangster film directed by Chaminda Jayasuriya and produced by Dr. Shantha Geethadeva for Emica Productions.[2][3] The film is based on a series of true events revolved around the gangster Gampaha Osmond,[4] that occurred between the 1976 and 1991 in Sri Lanka.[5] The film stars Poojana Dandeniya in lead role with an ensemble cast of Saumya Liyanage, Bimal Jayakody, Dilhani Ekanayake, Jagath Manuwarna, Shyam Fernando, Chandani Seneviratne, Sarath Kothalawala, Sanath Wimalasiri and Suraj Mapa.[6]",Chaminda Jayasuriya,Chamara Kodithuwakku,Dr. Shantha Geethadeva,"Poojana Dandeniya, Saumya Liyanage, Bimal Jayakody, Dilhani Ekanayake, Jagath Manuwarna, Shyam Fernando, Chandani Seneviratne, Sarath Kothalawala, Sanath Wimalasiri, Suraj Mapa",Vishwajith Karunaratne,Sithum Samarajeewa,"January 9, 2026",Sri Lanka,Sinhala
244,Fatherland,"Fatherland (German: Vaterland) is an upcoming biographical film directed by Paweł Pawlikowski, who co-wrote the screenplay with Hendrik Handloegten [de]. The film stars Hanns Zischler and Sandra Hüller as Thomas and Erika Mann, respectively, as they embark on a road trip across Germany during the Cold War. It also stars August Diehl, Anna Madeley, Devid Striesow, and Theo Trebs.",Paweł Pawlikowski,,"Mario Gianani, [, it, ], Lorenzo Mieli, Ewa Puszczyńska, Jeanne Tremsal, Edward Berger, Dimitri Rassam, Lorenzo Gangarossa","Hanns Zischler, Sandra Hüller, August Diehl, Anna Madeley, Devid Striesow, Theo Trebs",Łukasz Żal,Piotr Wójcik,May 2026(Cannes),"Poland, Germany, United Kingdom, France, Italy",German
245,Feel My Voice,"Feel My Voice (Italian: Non abbiam bisogno di parole) is a 2026 Italian coming-of-age musical comedy-drama film directed by Luca Ribuoli.[2][3] It is a remake of the French film La Famille Bélier (2014),[4] which also inspired the American adaptation CODA (2021).[5][6]",Luca Ribuoli,,,"Sarah Toscano, Serena Rossi, Emilio Insolera, Carola Insolera, Antonio Iorillo, Alessandro Parigi, Asia Corvino",Ivan Casalgrandi,,3 April 2026(Italy),Italy,"Italian, Italian Sign Language"
246,A Few Things Happening by a River,"The film is scheduled to have its world premiere at short film competition of the 79th Cannes Film Festival in May 2026, where it will compete for the Short Film Palme d'Or.[2]",Daniel Soares,Daniel Soares,"Mouloud Ouyahia, Thaddeus Christandl, Luís Urbano, Daniel Soares, Romina Orsini, Sandro Aguilar","Teresa Madruga, João Vicente, Clara Namora, Rui Pedro Silva",Marta Simões,"Sandro Aguilar, Daniel Soares",May 2026(Cannes),Portugal,Portuguese
247,La fiera,"La fiera is a 2026 Spanish drama film directed by Salvador Calvo and written by Alejandro Hernández. Tackling BASE jumping, it stars Carlos Cuevas, Miguel Bernardeau, and Miguel Ángel Silvestre.",Salvador Calvo,,"Jaime Ortiz de Artiñano, Fernando Bovaira, Guillem Vidal-Folch","Carlos Cuevas, Miguel Bernardeau, Miguel Ángel Silvestre, Candela González, Stéphanie Magnin, David Marcé, José Manuel Poga",Ángel Iguácel,Jaime Colis,6 February 2026,Spain,Spanish
248,Filipiñana,"The film had its world premiere in competition at the 2026 Sundance Film Festival on 23 January,[2] and had its European premiere at the Perspective section of  the 76th Berlin International Film Festival on 15 February.[3]",Rafael Manuel,Rafael Manuel,"Bianca Balbuena, Jeremy Chua, Omar El Kadi, Bradley Liew, Rafael Manuel, Alex Polunin, Nadia Turincev","Jorrybell Agoto, Carmen Castellanos, Teroy Guzman, Carlos Siguion-Reyna, Isabel Sicat, Nour Hooshmand",Xenia Patricia,Rafael Manuel,23 January 2026(Sundance),"United Kingdom, Philippines, Singapore, France, Netherlands","Filipino, English, Ilocano"
249,Finding Emily,"Finding Emily is an upcoming British romantic comedy film directed by Alicia MacDonald, written by Rachel Hirons, and produced by Working Title Films.",Alicia MacDonald,Rachel Hirons,"Tim Bevan, Eric Fellner, Olivier Kaempfer","Angourie Rice, Spike Fearn, Minnie Driver",Rachel Clark,Phil Hignett,22 May 2026,United Kingdom,English
250,Finding Harmony: A King's Vision,"Finding Harmony: A King's Vision is a documentary examining King Charles III's long‑standing interest in the philosophy of harmony. Directed by Nicolas Brown and produced by Passion Planet for Amazon Prime Video, the film is narrated by actress Kate Winslet. It follows Charles's efforts to promote an approach to life that stresses the connection between people and the natural world and the need for ecological balance. The documentary was released on 6 February 2026.",Nicolas Brown,,,Charles III,,,6 February 2026,United Kingdom,English
251,Fing!,Fing! (stylized in all caps) is a 2026 fantasy adventure film directed by Jeffrey Walker and written by David Walliams and Kevin Cecil. It is based on the 2019 children's book by Walliams.,Jeffrey Walker,,"Jo Sargent, Todd Fellman, Craig McMahon","Taika Waititi, David Walliams, Iona Bell, Mia Wasikowska, Penelope Wilton, Richard Roxburgh, Blake Harrison, Robyn Nevin",Mark Wareham,Geoff Lamb,"January 24, 2026(Sundance Film Festival)","Australia, [, 1, ], United Kingdom, [, 1, ]",English
252,Finnegan's Foursome,Finnegan's Foursome is an upcoming American sports comedy film written and directed by Edward Burns.,Edward Burns,,"Aaron Lubin, Ellen H. Schwartz","Edward Burns, Brian d'Arcy James, Erica Hernández, Brian Muller",Jeff Muhlstock,Janet Gaynor,"June 7, 2026(Tribeca Festival)",United States,English
253,A Fire There,"Set in the remote southern Georgian village of Gandzani, bordering Armenia, the film offers an impressionistic portrait of an Armenian community shaped by exile, lingering Soviet-era nostalgia, and rigid social structures. It follows three friends on the cusp of adulthood, caught between tradition and the desire to forge their own path.",Marlene Edoyan,Marlene Edoyan,,"Henrikh Malkhasian, Karlen Ispiryan, Hakob Harutyunyan",Étienne Roussy,Omar Elhamy,"April 22, 2026(Visions du Réel)",Canada,
254,Firebreak,"Firebreak (Spanish: Cortafuego) is a 2026 Spanish psychological thriller film directed by David Victori [es]. It stars Belén Cuesta, Enric Auquer, Joaquín Furriel, and Diana Gómez.",David Victori,,,"Belén Cuesta, Enric Auquer, Joaquín Furriel, Diana Gómez",Elías M. Félix,,20 February 2026,Spain,Spanish
255,Five More Minutes,"Five More Minutes[1] (Spanish: Cinco minutos más) is an upcoming Spanish fantasy comedy[2] film directed by Javier Ruiz Caldera and written by Berto Romero, who also stars alongside Belén Cuesta and Javier Cámara.",Javier Ruiz Caldera,Berto Romero,"Edmon Roch, Laura Fernández Espeso, Berto Romero, Javier Méndez, Guillermo Farré, Fran Araújo","Berto Romero, Belén Cuesta, Javier Cámara",,,2026,Spain,Spanish
256,Fjord,"Fjord is an upcoming drama film written, co-produced, and directed by Cristian Mungiu. The film stars Sebastian Stan and Renate Reinsve as a Romanian-Norwegian couple who face scrutiny after moving to the wife's remote Norwegian hometown.[1]",Cristian Mungiu,Cristian Mungiu,"Cristian Mungiu, Tudor Reu","Sebastian Stan, Renate Reinsve",Tudor Vladimir Panduru,Mircea Olteanu,May 2026(Cannes),"Romania, Norway, Denmark, Finland, France, Sweden","Norwegian, Romanian, English"
257,Flavia,"Flavia is a 2026 family adventure film directed by Bharat Nalluri and starring Molly Belle Wright, Martin Freeman, Jonathan Pryce, and Toby Jones. It is adapted from the Alan Bradley book series.",Bharat Nalluri,,"Paula Mazur, Mitchell Kaplan, Robert Mickelson","Molly Belle Wright, Martin Freeman, Jonathan Pryce, Toby Jones",Tim Maurice Jones,Jamie Pearson,"April 4, 2026(United Kingdom)","United States, United Kingdom",English
258,Flies,"The film had its world premiere at the main competition of the 76th Berlin International Film Festival on 18 February 2026,[1] where it won the Prize of the Ecumenical Jury.",Fernando Eimbcke,"Vanesa Garnica, Fernando Eimbcke","Eréndira Núñez Larios, Michel Franco, Fernando Eimbcke",,Maria Secco,"Salvador Reyes Zúñiga, Fernando Eimbcke",18 February 2026(Berlinale),Mexico,Spanish
259,Flying Colors,Flying Colors (Spanish: Todos los colores)[1] is a 2026 Spanish coming-of-age comedy-drama film written and directed by Beatriz de Silva in her debut fiction feature. It stars Mafalda Carbonell.,Beatriz de Silva,Beatriz de Silva,"Nathalie García, Jaime Ortiz de Artiñano, Beatriz Bodegas","Mafalda Carbonell, Sílvia Abril, Claudia Mora, Carlota Jiménez, Amalia Martos, Iván Luengo, Javier Tolosa, Israel Arpa, Edu Rejón, Eva Moral",Daniel Salmones,Ascen Marchena,9 March 2026(Málaga),Spain,Spanish
260,Focker-in-Law,"Focker-in-Law is an upcoming American comedy film written and directed by John Hamburg.  It is the fourth installment in the Fockers film series and the sequel to Little Fockers (2010). Robert De Niro, Ben Stiller, Owen Wilson, Blythe Danner, and Teri Polo reprised their roles from the previous films, with Ariana Grande joining the cast.",John Hamburg,John Hamburg,"Jane Rosenthal, Robert De Niro, Jay Roach, Ben Stiller, John Lesher, John Hamburg","Robert De Niro, Ben Stiller, Ariana Grande",Barry Peterson,,"November 25, 2026",United States,English
261,Forbidden Fruits,"Forbidden Fruits is a 2026 American comedy horror film starring Lili Reinhart, Lola Tung, Victoria Pedretti, Alexandra Shipp, Emma Chamberlain, and Gabrielle Union. It is directed by Meredith Alloway from a screenplay she co-wrote with Lily Houghton, and is based on Houghton's stage play Of the woman came the beginning of sin, and through her we all die.",Meredith Alloway,,"Mason Novick, Diablo Cody, Trent Hubbard, Mary Anne Waterhouse","Lili Reinhart, Lola Tung, Victoria Pedretti, Alexandra Shipp, Emma Chamberlain, Gabrielle Union",Karim Hussain,Hanna Park,"March 16, 2026(SXSW)",United States,English
262,Forgotten Island,"Forgotten Island is an upcoming American animated adventure comedy film written and directed by Joel Crawford and Januel Mercado. Produced by DreamWorks Animation, the film features the voices of H.E.R., Liza Soberano, Dave Franco, Jenny Slate, Manny Jacinto, Dolly de Leon, Jo Koy, Ronny Chieng, and Lea Salonga.","Joel Crawford, Januel Mercado","Joel Crawford, Januel Mercado",Mark Swift,"H.E.R., Liza Soberano, Dave Franco, Jenny Slate, Manny Jacinto, Dolly de Leon, Jo Koy, Ronny Chieng, Lea Salonga",,,"September 25, 2026",United States,English
263,Four Seasons in Java,"Four Seasons in Java (Indonesian: Empat Musim Pertiwi) is an upcoming drama film written and directed by Kamila Andini. The film stars Putri Marino as Pertiwi, the title character. It is an international co-production between Indonesia, Singapore, Netherlands, Norway, Germany, France, Poland, and Thailand.",Kamila Andini,Kamila Andini,Ifa Isfansyah,Putri Marino,Batara Goempar,Jasmine Ng,2026,"Indonesia, Singapore, Netherlands, Norway, Germany, France, Poland, Thailand","Indonesian, Javanese"
264,Fourth Floor,"Fourth Floor is a 2026 Indian Tamil-language psychological horror thriller film written and directed by L. R. Sundarapandi, starring Aari Arujunan and Deepshika in the lead roles, alongside Pavithra, Subramaniam Siva, Thalaivasal Vijay and others in important roles. The film is produced by A. Raja under his Mano Creation banner, while the technical team consists of music composer Dharan Kumar, editor Sudharshan and cinematographer J. Laxman MFI.[1]",L. R. Sundarapandi,L. R. Sundarapandi,A. Raja,"Aari Arujunan, Deepshika, Pavithra",J.Laxman MFI,Sudharshan,27 February 2026,India,Tamil
265,Fowl Play,"Fowl Play (Spanish: Aves de corral)[1] is a 2026 Spanish comedy thriller film written and directed by Antonio Vicent. The cast features Chechu Salgado, Diego Anido, and Olivia Baglivi, among others.",Antonio Vicent,Antonio Vicent,Gianfranco Piccirillo,"Chechu Salgado, Diego Anido, Olivia Baglivi, Roberto Enríquez, Antonio Durán ""Morris"", José Luis García Pérez, Roberto García, Álvaro Díaz, Ramon Robles, Belén Écija, Pedro Casablanc",Alberto Pareja,Ángel Pazos,17 February 2026(Golem Alhóndiga),Spain,Spanish
266,Frank & Louis,Frank & Louis is a 2026 drama film which marks the English-language feature film debut of director Petra Volpe. It stars Kingsley Ben-Adir and Rob Morgan.,Petra Volpe,,"Reto Schaerli, Lukas Hobi, Georgie Paget, Thembisa Cochrane","Kingsley Ben-Adir, Rob Morgan, Indira Varma, Rosalind Eleazar, Rene Perez Joglar",,,"January 25, 2026(Sundance Film Festival)","Switzerland, United Kingdom",English
267,The Friend's House Is Here,"The Friend's House Is Here is a 2026 drama film written, directed, and produced by Hossein Keshavarz and Maryam Ataei. It stars Mahshad Bahram, Hana Mana, Farzad Karen, and Zohreh Pirnia.","Hossein Keshavarz, Maryam Ataei","Hossein Keshavarz, Maryam Ataei","Hossein Keshavarz, Maryam Ataei","Mahshad Bahram, Hana Mana, Farzad Karen, Zohreh Pirnia",Ali Ehsani,Hossein Keshavarz,24 January 2026(Sundance Film Festival),"Iran, United States",Persian
268,Fukushima: A Nuclear Nightmare,"Fukushima: A Nuclear Nightmare is a 2026 British-American documentary film directed by James Jones
and Megumi Inman. It explores the March 11, 2011, Fukushima nuclear accident.","James Jones, Megumi Inman",,Megumi Inman,,Jean-Louis Schuller,Rupert Houseman,"February 20, 2026(United Kingdom)","United States, United Kingdom","English, Japanese"
