question,answer_llm,answer_orig,document
"Why does my OPENAI_API_KEY keep showing as missing inside Jupyter, and how do I fix it?","Your `OPENAI_API_KEY` is usually “missing” in Jupyter because the notebook hasn’t loaded your `.env` file yet.

Fix it like this:

1. Make sure you installed `python-dotenv`:
```bash
pip install python-dotenv
```

2. In your notebook, load the `.env` file **before** creating the OpenAI client:
```python
from dotenv import load_dotenv

load_dotenv()
```

3. Check that your `.env` file contains the exact name:
```env
OPENAI_API_KEY=sk-...
```

If the variable name is wrong or the `.env` file isn’t loaded, Jupyter won’t see the key.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
"If I already put the key in a .envrc file, why is the notebook still throwing the api_key error?","Because `.envrc` is not automatically loaded inside a Jupyter notebook.

In the course notes, the fix for notebook auth errors is to use `python-dotenv` and load the file in the notebook before creating the client:

```python
from dotenv import load_dotenv
load_dotenv()
```

Also make sure the variable name is exactly `OPENAI_API_KEY`.

If you want, I can help you check whether your notebook is actually reading the right env file.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
What’s the easiest way to make OpenAI API auth work in a notebook when direnv isn’t enough?,"The easiest way is to load your `.env` inside the notebook with `python-dotenv` before creating the OpenAI client:

```bash
pip install python-dotenv
```

```python
from dotenv import load_dotenv
load_dotenv()
```

Then make sure your API key is named exactly `OPENAI_API_KEY` in the `.env` file.

If you want, I can also show a minimal notebook example that works end-to-end.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How do I use python-dotenv to load my environment variables from .envrc in Jupyter?,"If you want to load variables from `.envrc` in Jupyter, the course context recommends using `python-dotenv` for notebooks:

```bash
pip install python-dotenv
```

Then in your notebook:

```python
from dotenv import load_dotenv

load_dotenv()
```

Make sure the variable is named exactly `OPENAI_API_KEY` if that’s what you need.

If your setup is specifically based on automatic shell loading from `.envrc`, that is usually handled by `direnv`/`dirdotenv` in your terminal, but for Jupyter the notebook itself should use `python-dotenv` to load the file.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
"Can I store OPENAI_API_KEY in GitHub Codespaces instead of setting it locally, and how do I do that?","Yes — for GitHub Codespaces, use **Codespaces secrets** instead of storing `OPENAI_API_KEY` in a local `.env` file in the repo.

How to do it:
1. Go to GitHub’s **Codespaces secrets** settings.
2. Create a new secret named `OPENAI_API_KEY`.
3. Paste your key as the value.
4. Restart or recreate the codespace if needed so it becomes available in the environment.

The context specifically says: **“For GitHub Codespaces, use the built-in Codespaces secrets instead of files in the repo.”**

If you want, I can also explain the local `.env` / `dirdotenv` setup, but for Codespaces the answer is secrets.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How can I figure out the GPT-4o token count for homework 6 if I’m using Groq and there’s no tokenizer for it?,"Use Groq’s response usage fields if they’re available. For non-OpenAI providers, the course says to check the model response object for token usage and adapt your code.

If Groq does not expose token usage for your model, use Groq’s native tokenizer as an approximation. Do not use `tiktoken` or `cl100k_base` for Groq, since tokenization differs by provider/model.

If you still can’t get an exact count, pick the closest multiple-choice option.","For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
Do I need an OpenAI API key just to check how many tokens a prompt has in this assignment?,I don't know.,"For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
What library should I use to estimate the number of OpenAI tokens in question 6?,Use `tiktoken` for estimating OpenAI token counts. Note that the count may differ slightly from what OpenAI reports because of chat formatting tokens.,"For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
Is there a way to count GPT-4o tokens without using the OpenAI API itself?,"Yes — you can estimate GPT-4o token counts locally with `tiktoken.encode()`, but it may not exactly match OpenAI’s API because the API adds extra chat-formatting tokens internally.

So:
- **Local counting is possible**
- **Exact OpenAI-reported counts may differ** due to added structural tokens and formatting overhead

If you need the exact count OpenAI would report, I don't know.","For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
"If Groq doesn’t have a tokenizer, what’s the simplest way to get the token number the homework wants?","The simplest way is to use the token count already returned by the Groq response object, if Groq exposes usage fields.

If it doesn’t expose token usage, then use Groq’s native tokenizer as an approximation.","For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
Can I swap OpenAI for Groq in the course exercises and final project?,"Yes. You can swap OpenAI for Groq in the course exercises and final project.

A few notes:

- The course is **not tied to OpenAI**.
- For OpenAI-compatible providers like **Groq**, you usually only need to change:
  - the `base_url`
  - the API key
  - the model name
- In some cases, if a tool/framework uses OpenAI’s **Responses API**, you may need to switch to the **chat completions** classes instead, because Groq supports `chat.completions.create`, not OpenAI’s proprietary Responses endpoint.
- For the **final project**, you are free to use whatever technology and provider you want.

So: **yes, Groq is a valid swap**.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
Is it okay to use a different LLM platform instead of OpenAI for the homework?,"Yes. The course and homework are not tied to OpenAI. You can use another LLM provider or even run a model locally, as long as it works with the homework requirements.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"Do I need a paid API like OpenAI to finish the assignments, or can I run everything locally?","No, you don’t have to pay for OpenAI to finish the assignments. The course can be done with free or low-cost alternatives, and you can also run models locally with tools like Ollama, vLLM, or LM Studio.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"If I use another model provider, will I have to change the code myself?","Usually only a small change, not a full rewrite.

If the provider is OpenAI-compatible, you typically just change:
- `base_url`
- API key
- model name

If it’s a non-OpenAI provider, you may need a bit more adaptation because:
- response formats can differ
- tool schemas can differ
- token counting can differ

So the answer is: **you might need to change some code, but often only minor parts, depending on the provider**.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
Where should I look if I want to adapt the project to a platform like Groq?,I don't know.,"Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"Why does my homework query return an empty list after filtering, even though the data is there?","This is likely an indexing issue. You need to add the index settings before adding the data to the index; otherwise, the filters may return an empty list even though the data is present.","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
What am I missing if my Q3 filter gives no results in the LLM Zoomcamp homework?,I don't know.,"This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
Could this be an indexing problem if the search comes back empty after I apply the filter?,"Yes — this is likely an indexing problem. According to the context, if you get an empty result after applying a filter, the first thing to check is whether the data was indexed correctly.

In particular:
- add the index settings **before** inserting the data into the index
- then apply your filters and query

If that order is wrong, you can end up with empty results.","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
Do I need to set up the index differently before loading the data for this assignment?,Yes — you should set up the index settings **before** loading the data into the index.,"This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
How should I fix the empty results issue in HW Q3 when using filters and queries?,"This is likely caused by an indexing issue. You should add the **index settings before adding the data to the index**. After that, your filters and query should work correctly.","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
Why do I get a different token count in tiktoken than what OpenAI shows in the API response?,"Because `tiktoken` only counts the tokens in your visible text, while OpenAI’s API includes extra internal chat-formatting tokens.

In particular:

- Each chat message adds about 4 structural tokens
- The API adds 2 tokens to mark the assistant response start
- Extra whitespace, newlines, or unusual Unicode can also change the count

So it’s normal for `tiktoken` to show a smaller number than the API reports.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
"How come my prompt has 320 tokens locally, but OpenAI says 327 for the same request?","Because OpenAI counts more than just your visible text.

When you use `tiktoken.encode()` locally, you’re usually counting only the prompt text itself. OpenAI’s chat API adds internal formatting tokens, so the reported number can be higher.

In the course context:

- each chat message adds about **4 structural tokens**
- the API adds **2 tokens** to mark the start of assistant generation
- extra whitespace/newlines or unusual Unicode can add a few more

So a prompt that looks like **320 tokens locally** can easily show up as **327 tokens** in OpenAI’s count.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
Does chat.completions.create add extra tokens beyond the text I send?,"Yes. `chat.completions.create()` adds some internal formatting tokens beyond the visible text you send.

From the context:

- Each message adds **4 structural tokens** for chat formatting.
- The API also adds **2 tokens globally** to start assistant generation.
- Extra whitespace/newlines or unusual Unicode can add a few more.

So OpenAI’s reported token count can be higher than the token count of just the text content you provide.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
What makes OpenAI count more tokens than just encoding the visible message content?,"OpenAI counts extra internal chat-formatting tokens, not just the visible message text.

Specifically:
- each `chat.completions.create()` message adds 4 structural tokens
- OpenAI adds 2 more tokens overall to signal the assistant’s response start
- whitespace, newlines, or unusual Unicode can also increase the count

So the API token count can be higher than `tiktoken.encode()` on the visible content alone.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
"Can whitespace, newlines, or weird Unicode characters change the token total in OpenAI chat requests?","Yes. The context says extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count in OpenAI chat requests.

Also, OpenAI chat formatting adds internal tokens:
- 4 structural tokens per message
- 2 global tokens for assistant response start

So the reported total can differ from a simple `tiktoken.encode()` count.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
How can I set my API key once so I don’t have to export it in every new terminal?,"Use `dirdotenv` so the key loads automatically when you enter the project directory.

Example:

```bash
uv tool install dirdotenv
```

Add this to your `~/.bashrc` or `~/.zshrc`:

```bash
eval ""$(dirdotenv hook bash)""   # or zsh
```

Then in your project:

```bash
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the API key will be loaded automatically when you `cd` into that folder.

Also make sure `.env` and `.envrc` are in `.gitignore` so you don’t commit secrets.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
Is there a way to make env vars load automatically when I enter a project folder?,"Yes — you can make them load automatically when you enter a project folder by using a shell tool like `direnv`.

The course context specifically mentions loading `.env` with `python-dotenv` in Python, but for automatic loading in the terminal, a common approach is:

- keep your variables in a `.env` file
- use `direnv` to auto-load them when you `cd` into the folder

If you want, I can show you a simple setup for `direnv` or a pure-Python workflow with `python-dotenv`.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
What’s the easiest setup for keeping my OpenAI key in a project without putting it in the code?,"The easiest setup is to store the key in a `.env` file and load it in your code with `dotenv`, instead of hardcoding it.

For example:

- put your key in `.env` as `GEMINI_API_KEY=...`
- load it with `load_dotenv()`
- read it with `os.getenv(""GEMINI_API_KEY"")`

That keeps the key out of your source code.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
How should I handle API keys in GitHub Codespaces so they aren’t stored in the repo?,"Use **GitHub Codespaces secrets** instead of putting API keys in files in the repo.

From the course context: for Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) so the keys aren’t stored in your repository.

If you’re working locally, the course recommends using a `.env` file and adding it to `.gitignore`, but for Codespaces specifically, secrets are the right approach.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
"If I’m running Python scripts, what can I use to load a .env file automatically?","Use `python-dotenv`.

```bash
pip install python-dotenv
```

Then in your Python script:

```python
from dotenv import load_dotenv

load_dotenv()
```

This loads the `.env` file automatically.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
"How do I install Ollama on macOS, Windows, or Linux for this course?","Install Ollama from the official download page: https://ollama.com/download

- **macOS**: download and install the **`.pkg`**
- **Windows**: download and install the **`.msi`**
- **Linux**: run:

```bash
curl -fsSL https://ollama.com/install.sh | sh
```

After installing, open a terminal and run:

```bash
ollama run llama3
```

This will download the model and start Ollama locally.","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
What should I run after installing Ollama to download and start LLaMA 3 locally?,"Run:

```bash
ollama run llama3
```

This downloads LLaMA 3 and starts it locally.","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
How can I quickly check if the Ollama server is actually running on my machine?,"A quick check is to run:

```bash
curl http://localhost:11434
```

If Ollama is running, you should get a response like:

```json
{""models"":[...]}
```","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
"After installing Ollama, how do I get the Python package and use it from a script?","Install the Python client with:

```bash
pip install ollama
```

Then use it in your script like this:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```

","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
What’s the simplest example of calling Ollama chat from Python with a prompt?,"Here’s the simplest example:

```python
import ollama

prompt = ""What is RAG?""
response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": prompt}]
)

print(response['message']['content'])
```

","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
"Why am I getting a connection refused error when I prompt my Ollama RAG, and how do I fix it?","A `connection refused` error usually means the Ollama server isn’t running or has stopped.

To fix it, restart the Ollama server with:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Also make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
